Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1650554,2013-04-24,2013-04-24,,Kick-Ass 2,https://www.imdb.com/title/tt1650554/,movie,6.6,103,2013,"Action, Comedy, Crime",237738,2013-08-14,Jeff Wadlow
2,tt0770828,2013-03-24,2013-03-24,,Man of Steel,https://www.imdb.com/title/tt0770828/,movie,7.1,143,2013,"Action, Adventure, Sci-Fi",644759,2013-06-10,Zack Snyder
3,tt0465580,2013-04-24,2013-04-24,,Push,https://www.imdb.com/title/tt0465580/,movie,6.1,111,2009,"Action, Sci-Fi, Thriller",100370,2009-01-29,Paul McGuigan
4,tt1051916,2013-04-24,2013-04-24,,Silver Surfer: Prodigal Son,https://www.imdb.com/title/tt1051916/,movie,,,,"Action, Fantasy, Sci-Fi",,,
5,tt1270797,2013-04-24,2013-04-24,,Venom,https://www.imdb.com/title/tt1270797/,movie,6.7,112,2018,"Action, Sci-Fi, Thriller",268711,2018-10-01,Ruben Fleischer
6,tt1477834,2013-04-24,2013-04-24,,Aquaman,https://www.imdb.com/title/tt1477834/,movie,7.1,143,2018,"Action, Adventure, Fantasy, Sci-Fi",250197,2018-11-26,James Wan
7,tt0451279,2013-04-24,2013-04-24,,Wonder Woman,https://www.imdb.com/title/tt0451279/,movie,7.5,141,2017,"Action, Adventure, Fantasy, Sci-Fi, War",483153,2017-05-15,Patty Jenkins
8,tt0489099,2013-04-24,2013-04-24,John Powell,Jumper,https://www.imdb.com/title/tt0489099/,movie,6.1,88,2008,"Action, Adventure, Sci-Fi, Thriller",271257,2008-02-06,Doug Liman
9,tt1431045,2013-04-24,2013-04-24,,Deadpool,https://www.imdb.com/title/tt1431045/,movie,8.0,108,2016,"Action, Adventure, Comedy, Sci-Fi",814718,2016-01-21,Tim Miller
10,tt1498780,2013-04-24,2013-04-24,,Hancock 2,https://www.imdb.com/title/tt1498780/,movie,,,,"Action, Fantasy",,,
11,tt1464540,2013-04-24,2013-04-24,,I Am Number Four,https://www.imdb.com/title/tt1464540/,movie,6.1,111,2011,"Action, Adventure, Sci-Fi, Thriller",217177,2011-02-17,D.J. Caruso
12,tt0938283,2013-04-24,2013-04-24,James Newton Howard,The Last Airbender,https://www.imdb.com/title/tt0938283/,movie,4.1,103,2010,"Action, Adventure, Family, Fantasy",137304,2010-06-30,M. Night Shyamalan
13,tt0465624,2013-04-24,2013-04-24,,My Super Ex-Girlfriend,https://www.imdb.com/title/tt0465624/,movie,5.1,96,2006,"Comedy, Romance, Sci-Fi",59034,2006-07-20,Ivan Reitman
14,tt0439572,2013-04-24,2013-04-24,,The Flash,https://www.imdb.com/title/tt0439572/,short,,,,"Short, Action, Adventure, Fantasy, Sci-Fi",,,"Rodrigo Salazar, Jonathan Goldstein, John Francis Daley"
15,tt0822847,2013-04-24,2013-04-24,,Priest,https://www.imdb.com/title/tt0822847/,movie,5.7,87,2011,"Action, Adventure, Fantasy, Horror, Sci-Fi, Thriller",108001,2011-04-26,Scott Stewart
16,tt0448115,2013-04-24,2013-04-24,,Shazam!,https://www.imdb.com/title/tt0448115/,movie,7.5,132,2019,"Action, Adventure, Comedy, Fantasy",95065,2019-03-25,David F. Sandberg
17,tt1706593,2013-04-24,2013-04-24,,Chronicle,https://www.imdb.com/title/tt1706593/,movie,7.1,84,2012,"Drama, Sci-Fi, Thriller",228725,2012-01-28,Josh Trank
18,tt0103923,2013-04-24,2013-04-24,,Captain America,https://www.imdb.com/title/tt0103923/,movie,3.3,97,1990,"Action, Adventure, Sci-Fi, War",10114,1990-12-14,Albert Pyun
19,tt0478970,2013-04-24,2013-04-24,,Ant-Man,https://www.imdb.com/title/tt0478970/,movie,7.3,117,2015,"Action, Adventure, Comedy, Sci-Fi",495345,2015-06-29,Peyton Reed
20,tt2015381,2013-04-24,2013-04-24,,Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/,movie,8.1,121,2014,"Action, Adventure, Comedy, Sci-Fi",939434,2014-07-21,James Gunn
