Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0068098,2013-04-23,2013-04-23,CBS,M*A*S*H,https://www.imdb.com/title/tt0068098/,tvSeries,8.4,25,1972,"Comedy, Drama, War",46611,1972-09-17,
2,tt0071007,2013-04-23,2013-04-23,NBC,Little House on the Prairie,https://www.imdb.com/title/tt0071007/,tvSeries,7.4,60,1974,"Drama, Family, Romance, Western",14512,1974-03-30,
3,tt0088526,2013-04-23,2013-04-23,NBC,The Golden Girls,https://www.imdb.com/title/tt0088526/,tvSeries,7.9,30,1985,"Comedy, Drama",27453,1985-09-14,
4,tt0090527,2013-04-23,2013-04-23,ABC,Starman,https://www.imdb.com/title/tt0090527/,tvSeries,6.8,60,1986,Sci-Fi,642,1986-09-19,
5,tt0092359,2013-04-23,2013-04-23,ABC,Full House,https://www.imdb.com/title/tt0092359/,tvSeries,6.7,22,1987,"Comedy, Drama, Family",48648,1987-09-22,
6,tt0094540,2013-04-23,2013-04-23,ABC,Roseanne,https://www.imdb.com/title/tt0094540/,tvSeries,7.0,21,1988,"Comedy, Drama",37343,1988-10-18,
7,tt0098844,2013-04-23,2013-04-23,NBC,Law & Order,https://www.imdb.com/title/tt0098844/,tvSeries,7.7,45,1990,"Crime, Drama, Mystery, Thriller",29126,1990-09-13,
8,tt0098749,2013-04-23,2013-04-23,FOX,"Beverly Hills, 90210",https://www.imdb.com/title/tt0098749/,tvSeries,6.3,44,1990,"Drama, Romance",28110,1990-10-04,
9,tt0098936,2013-04-23,2013-04-23,ABC,Twin Peaks,https://www.imdb.com/title/tt0098936/,tvSeries,8.8,47,1990,"Crime, Drama, Mystery, Thriller",153175,1989-09-30,
10,tt0106004,2013-04-23,2013-04-23,NBC,Frasier,https://www.imdb.com/title/tt0106004/,tvSeries,8.1,22,1993,Comedy,66463,1993-09-16,
11,tt0105958,2013-04-23,2013-04-23,ABC,Boy Meets World,https://www.imdb.com/title/tt0105958/,tvSeries,8.1,23,1993,"Comedy, Drama, Family",35900,1993-09-24,
12,tt0106179,2013-04-23,2013-04-23,FOX,The X Files,https://www.imdb.com/title/tt0106179/,tvSeries,8.7,45,1993,"Drama, Mystery, Sci-Fi, Thriller",182217,1993-09-10,
13,tt0108778,2013-04-23,2013-04-23,NBC,Friends,https://www.imdb.com/title/tt0108778/,tvSeries,8.9,22,1994,"Comedy, Romance",666315,1994-09-22,
14,tt0108757,2013-04-23,2013-04-23,NBC,ER,https://www.imdb.com/title/tt0108757/,tvSeries,7.8,44,1994,"Drama, Romance",46159,1994-09-19,
15,tt0165598,2013-04-23,2013-04-23,FOX,That '70s Show,https://www.imdb.com/title/tt0165598/,tvSeries,8.1,22,1998,"Comedy, Romance",139509,1998-08-23,
16,tt0165581,2013-04-23,2013-04-23,CBS,The King of Queens,https://www.imdb.com/title/tt0165581/,tvSeries,7.3,22,1998,Comedy,69427,1998-09-21,
