Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0995832,2013-04-24,2013-04-24,,Generation Kill,https://www.imdb.com/title/tt0995832/,tvMiniSeries,8.6,70,2008,"Drama, War",42591,2008-07-13,
2,tt1758429,2013-04-24,2013-04-24,,Spartacus: Gods of the Arena,https://www.imdb.com/title/tt1758429/,tvMiniSeries,8.5,55,2011,"Action, Adventure, Biography, Drama, History, Romance",114488,2011-01-21,
3,tt0185906,2013-04-24,2013-04-24,,Band of Brothers,https://www.imdb.com/title/tt0185906/,tvMiniSeries,9.5,594,2001,"Action, Drama, History, War",314789,2001-09-09,
4,tt0374463,2013-04-24,2013-04-24,,The Pacific,https://www.imdb.com/title/tt0374463/,tvMiniSeries,8.3,530,2010,"Action, Adventure, Drama, History, War",86798,2010-03-14,
5,tt0112130,2013-04-24,2013-04-24,,Pride and Prejudice,https://www.imdb.com/title/tt0112130/,tvMiniSeries,8.9,327,1995,"Drama, Romance",67523,1995-09-24,
6,tt0074006,2013-04-24,2013-04-24,,"I, Claudius",https://www.imdb.com/title/tt0074006/,tvMiniSeries,8.8,669,1976,"Biography, Drama, History",14080,1976-09-20,
7,tt0120570,2013-04-24,2013-04-24,,From the Earth to the Moon,https://www.imdb.com/title/tt0120570/,tvMiniSeries,8.7,60,1998,"Action, Drama, History, Thriller",9533,1998-04-05,
8,tt0417349,2013-04-24,2013-04-24,,North & South,https://www.imdb.com/title/tt0417349/,tvMiniSeries,8.7,235,2004,"Drama, Romance",26928,2004-11-14,
9,tt1227926,2013-04-24,2013-04-24,,Dr. Horrible's Sing-Along Blog,https://www.imdb.com/title/tt1227926/,tvMiniSeries,8.6,42,2008,"Comedy, Musical, Sci-Fi",39657,2008-07-15,
10,tt0096639,2013-04-24,2013-04-24,,Lonesome Dove,https://www.imdb.com/title/tt0096639/,tvMiniSeries,8.7,384,1989,"Adventure, Drama, Western",18411,1989-02-05,
11,tt0472027,2013-04-24,2013-04-24,,John Adams,https://www.imdb.com/title/tt0472027/,tvMiniSeries,8.6,71,2008,"Biography, Drama, History",24838,2008-03-16,
12,tt2085059,2013-04-24,2013-04-24,,Black Mirror,https://www.imdb.com/title/tt2085059/,tvSeries,8.9,60,2011,"Drama, Sci-Fi, Thriller",309519,2011-12-04,
13,tt0075520,2013-04-24,2013-04-24,,Jesus of Nazareth,https://www.imdb.com/title/tt0075520/,tvMiniSeries,8.5,382,1977,"Biography, Drama, History",17467,1977-03-27,
14,tt0314979,2013-04-24,2013-04-24,,Battlestar Galactica,https://www.imdb.com/title/tt0314979/,tvMiniSeries,8.6,183,2003,"Action, Adventure, Drama, Sci-Fi",60855,2003-12-08,
15,tt0075572,2013-04-24,2013-04-24,,Roots,https://www.imdb.com/title/tt0075572/,tvMiniSeries,8.3,588,1977,"Biography, Drama, History, War",15025,1977-01-23,
16,tt0780362,2013-04-24,2013-04-24,,Jane Eyre,https://www.imdb.com/title/tt0780362/,tvMiniSeries,8.4,230,2006,"Drama, Romance",17792,2006-09-24,
17,tt0830361,2013-04-24,2013-04-24,,The Lost Room,https://www.imdb.com/title/tt0830361/,tvMiniSeries,8.3,270,2006,"Action, Fantasy, Mystery, Sci-Fi",26774,2006-12-11,
18,tt0318997,2013-04-24,2013-04-24,,Angels in America,https://www.imdb.com/title/tt0318997/,tvMiniSeries,8.3,352,2003,"Drama, Fantasy, Romance",24328,2003-12-07,
19,tt1453159,2013-04-24,2013-04-24,,The Pillars of the Earth,https://www.imdb.com/title/tt1453159/,tvMiniSeries,8.1,60,2010,"Drama, History, Romance, Thriller, War",26519,2010-07-23,
20,tt0207275,2013-04-24,2013-04-24,,The 10th Kingdom,https://www.imdb.com/title/tt0207275/,tvMiniSeries,8.4,417,2000,"Adventure, Comedy, Family, Fantasy, Mystery, Romance",16340,2000-02-27,
21,tt0080274,2013-04-24,2013-04-24,,Shogun,https://www.imdb.com/title/tt0080274/,tvMiniSeries,8.1,60,1980,"Adventure, Drama, History, War",10536,1980-09-15,
22,tt1985443,2013-04-24,2013-04-24,,Hatfields & McCoys,https://www.imdb.com/title/tt1985443/,tvMiniSeries,8.0,290,2012,"Drama, History, Romance, War, Western",22240,2012-05-28,
23,tt1285482,2013-04-24,2013-04-24,,Dead Set,https://www.imdb.com/title/tt1285482/,tvMiniSeries,7.7,141,2008,"Comedy, Drama, Horror",16841,2008-10-18,
24,tt0289830,2013-04-24,2013-04-24,,Taken,https://www.imdb.com/title/tt0289830/,tvMiniSeries,7.9,877,2002,"Drama, Sci-Fi",18254,2002-10-10,
25,tt0465316,2013-04-24,2013-04-24,,Afro Samurai,https://www.imdb.com/title/tt0465316/,tvMiniSeries,7.7,26,2007,"Animation, Action, Adventure, Drama, Fantasy",13676,2007-01-04,
26,tt1492030,2013-04-24,2013-04-24,,Mildred Pierce,https://www.imdb.com/title/tt1492030/,tvMiniSeries,7.7,336,2011,Drama,17354,2011-03-21,
27,tt1321865,2013-04-24,2013-04-24,,Carlos,https://www.imdb.com/title/tt1321865/,tvMiniSeries,7.7,334,2010,"Biography, Crime, Drama, Thriller",11978,2010-05-19,
28,tt0287839,2013-04-24,2013-04-24,,Children of Dune,https://www.imdb.com/title/tt0287839/,tvMiniSeries,7.6,266,2003,"Adventure, Drama, Fantasy, Sci-Fi",11086,2003-03-16,
29,tt0135659,2013-04-24,2013-04-24,,Storm of the Century,https://www.imdb.com/title/tt0135659/,tvMiniSeries,7.4,257,1999,"Drama, Fantasy, Horror, Thriller",18385,1999-02-14,
30,tt0108941,2013-04-24,2013-04-24,,The Stand,https://www.imdb.com/title/tt0108941/,tvMiniSeries,7.2,361,1994,"Adventure, Drama, Fantasy, Horror, Sci-Fi",28752,1994-05-08,
31,tt0910812,2013-04-24,2013-04-24,,Tin Man,https://www.imdb.com/title/tt0910812/,tvMiniSeries,7.2,270,2007,"Adventure, Fantasy, Sci-Fi, Western",12544,2007-12-02,
32,tt1461312,2013-04-24,2013-04-24,,Alice,https://www.imdb.com/title/tt1461312/,tvMiniSeries,7.3,184,2009,"Adventure, Drama, Fantasy, Sci-Fi",8861,2009-12-06,
33,tt0142032,2013-04-24,2013-04-24,,Dune,https://www.imdb.com/title/tt0142032/,tvMiniSeries,7.1,265,2000,"Adventure, Drama, Fantasy, Sci-Fi",16673,2000-12-03,
34,tt0130414,2013-04-24,2013-04-24,,Merlin,https://www.imdb.com/title/tt0130414/,tvMiniSeries,7.1,182,1998,"Action, Adventure, Drama, Fantasy, Romance",19338,1998-04-26,
35,tt0099864,2013-04-24,2013-04-24,,It,https://www.imdb.com/title/tt0099864/,tvMiniSeries,6.9,192,1990,"Drama, Horror, Mystery, Thriller",102327,1990-11-18,
36,tt0452573,2013-04-24,2013-04-24,,The Triangle,https://www.imdb.com/title/tt0452573/,tvMiniSeries,6.6,240,2005,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller",8163,2005-12-05,
37,tt0259153,2013-04-24,2013-04-24,,Rose Red,https://www.imdb.com/title/tt0259153/,tvMiniSeries,6.8,254,2002,"Horror, Mystery, Thriller",20177,2002-01-27,
38,tt1672189,2013-04-24,2013-04-24,,Camelot,https://www.imdb.com/title/tt1672189/,tvSeries,6.5,45,2011,"Drama, Fantasy, History",21992,2011-02-25,
39,tt1720619,2013-04-24,2013-04-24,,Neverland,https://www.imdb.com/title/tt1720619/,tvMiniSeries,6.5,180,2011,"Adventure, Fantasy",9488,2011-12-04,
40,tt0424600,2013-04-24,2013-04-24,,The Andromeda Strain,https://www.imdb.com/title/tt0424600/,tvMiniSeries,6.2,174,2008,"Action, Drama, Sci-Fi, Thriller",13116,2008-05-11,
41,tt0118460,2013-04-24,2013-04-24,,The Shining,https://www.imdb.com/title/tt0118460/,tvMiniSeries,6.1,273,1997,"Drama, Fantasy, Horror, Thriller",14109,1997-04-27,
42,tt0081846,2013-04-24,2013-04-24,,Cosmos,https://www.imdb.com/title/tt0081846/,tvSeries,9.3,60,1980,Documentary,30906,1980-09-28,
43,tt2092588,2013-04-24,2013-04-24,,Frozen Planet,https://www.imdb.com/title/tt2092588/,tvMiniSeries,8.9,60,2011,Documentary,21947,2011-10-26,
