Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0118147,2013-03-12,2013-03-12,,When We Were Kings,https://www.imdb.com/title/tt0118147/,movie,8.0,88,1996,"Documentary, Sport",13748,1996-01-31,Leon Gast
2,tt0482857,2013-03-12,2013-03-12,,Broken Trail,https://www.imdb.com/title/tt0482857/,tvMiniSeries,7.8,184,2006,Western,5366,2006-06-24,
3,tt0102744,2013-03-12,2013-03-12,,Quigley Down Under,https://www.imdb.com/title/tt0102744/,movie,6.9,119,1990,"Action, Adventure, Drama, Romance, Western",17807,1990-10-17,Simon Wincer
4,tt1453159,2013-03-12,2013-03-12,,The Pillars of the Earth,https://www.imdb.com/title/tt1453159/,tvMiniSeries,8.1,60,2010,"Drama, History, Romance, Thriller, War",26518,2010-07-23,
5,tt0075572,2013-03-12,2013-03-12,,Roots,https://www.imdb.com/title/tt0075572/,tvMiniSeries,8.3,588,1977,"Biography, Drama, History, War",15025,1977-01-23,
6,tt0096639,2013-03-12,2013-03-12,,Lonesome Dove,https://www.imdb.com/title/tt0096639/,tvMiniSeries,8.7,384,1989,"Adventure, Drama, Western",18411,1989-02-05,
7,tt0079239,2013-03-12,2013-03-12,,The Great Santini,https://www.imdb.com/title/tt0079239/,movie,7.2,115,1979,Drama,5273,1979-10-26,Lewis John Carlino
8,tt0098513,2013-03-12,2013-03-12,,Triumph of the Spirit,https://www.imdb.com/title/tt0098513/,movie,6.9,120,1989,"Biography, Drama, History, Sport, War",2013,1989-12-08,Robert M. Young
9,tt1540814,2013-03-12,2013-03-12,,Casino Jack and the United States of Money,https://www.imdb.com/title/tt1540814/,movie,7.1,118,2010,Documentary,1517,2010-01-31,Alex Gibney
10,tt1337137,2013-03-12,2013-03-12,,South of the Border,https://www.imdb.com/title/tt1337137/,movie,7.0,78,2009,Documentary,2716,2009-09-07,Oliver Stone
11,tt1363109,2013-03-12,2013-03-12,,Journey to the Edge of the Universe,https://www.imdb.com/title/tt1363109/,tvMovie,8.5,91,2008,"Documentary, Family",3513,2008-12-07,Yavar Abbas
12,tt0094712,2013-03-12,2013-03-12,,Bat*21,https://www.imdb.com/title/tt0094712/,movie,6.4,105,1988,"Drama, War",7310,1988-08-06,Peter Markle
13,tt1530983,2013-03-12,2013-03-12,,Red Hill,https://www.imdb.com/title/tt1530983/,movie,6.4,95,2010,"Thriller, Western",7869,2010-02-14,Patrick Hughes
14,tt0084296,2013-03-12,2013-03-12,,The Man from Snowy River,https://www.imdb.com/title/tt0084296/,movie,7.3,102,1982,"Adventure, Drama, Family, Romance, Western",7175,1982-03-25,George Miller
15,tt1376195,2013-03-12,2013-03-12,,Gunless,https://www.imdb.com/title/tt1376195/,movie,6.5,89,2010,"Action, Comedy, Drama, Western",3367,2010-04-19,William Phillips
16,tt0074006,2013-03-12,2013-03-12,,"I, Claudius",https://www.imdb.com/title/tt0074006/,tvMiniSeries,8.8,669,1976,"Biography, Drama, History",14080,1976-09-20,
17,tt0043137,2013-03-12,2013-03-12,,Winchester '73,https://www.imdb.com/title/tt0043137/,movie,7.7,92,1950,"Action, Drama, Western",15100,1950-06-01,Anthony Mann
18,tt1503769,2013-03-12,2013-03-12,,Collapse,https://www.imdb.com/title/tt1503769/,movie,7.8,82,2009,Documentary,6686,2009-09-12,Chris Smith
19,tt0113617,2013-03-12,2013-03-12,,Last of the Dogmen,https://www.imdb.com/title/tt0113617/,movie,7.0,118,1995,"Adventure, Western",4568,1995-09-08,Tab Murphy
20,tt0094035,2013-03-12,2013-03-12,,The Stepfather,https://www.imdb.com/title/tt0094035/,movie,6.8,89,1987,"Horror, Thriller",11542,1987-01-23,Joseph Ruben
21,tt0083111,2013-03-12,2013-03-12,,Southern Comfort,https://www.imdb.com/title/tt0083111/,movie,7.2,106,1981,"Action, Thriller",14423,1981-09-21,Walter Hill
22,tt1051155,2013-03-12,2013-03-12,,The Universe,https://www.imdb.com/title/tt1051155/,tvSeries,8.9,45,2007,"Documentary, History",4582,2007-05-29,
23,tt0065134,2013-03-12,2013-03-12,,Two Mules for Sister Sara,https://www.imdb.com/title/tt0065134/,movie,7.0,116,1970,"Adventure, Romance, War, Western",21279,1970-03-13,Don Siegel
24,tt0050798,2013-03-12,2013-03-12,,Old Yeller,https://www.imdb.com/title/tt0050798/,movie,7.3,83,1957,"Adventure, Drama, Family, Western",10482,1957-12-25,Robert Stevenson
25,tt0068768,2013-03-12,2013-03-12,,Joe Kidd,https://www.imdb.com/title/tt0068768/,movie,6.5,88,1972,Western,15054,1972-07-19,John Sturges
26,tt0093137,2013-03-12,2013-03-12,,Hamburger Hill,https://www.imdb.com/title/tt0093137/,movie,6.7,110,1987,"Action, Drama, Thriller, War",21471,1987-08-28,John Irvin
27,tt0799954,2013-03-12,2013-03-12,,The Bridge,https://www.imdb.com/title/tt0799954/,movie,7.3,94,2006,"Documentary, Drama",10413,2006-04-27,Eric Steel
28,tt1441589,2013-03-12,2013-03-12,,Heroes and Villains,https://www.imdb.com/title/tt1441589/,tvSeries,7.8,,2007,"Documentary, Drama",199,2007-11-11,
29,tt0170896,2013-03-12,2013-03-12,,Cold War,https://www.imdb.com/title/tt0170896/,tvMiniSeries,8.6,1120,1998,"Documentary, History",712,1998-12-31,
30,tt1358383,2013-03-12,2013-03-12,,The Ascent of Money,https://www.imdb.com/title/tt1358383/,tvMovie,8.0,120,2008,Documentary,601,2008-11-17,Adrian Pennick
31,tt0292508,2013-03-12,2013-03-12,,Fidel,https://www.imdb.com/title/tt0292508/,movie,7.5,91,2001,"Documentary, Biography",513,2001-08-02,Estela Bravo
32,tt0294032,2013-03-12,2013-03-12,,Civil War Journal,https://www.imdb.com/title/tt0294032/,tvSeries,8.2,60,1993,"Documentary, History, War",110,1993-09-22,
33,tt1466074,2013-03-12,2013-03-12,,Columbo,https://www.imdb.com/title/tt1466074/,tvSeries,8.2,100,1971,"Crime, Drama, Mystery, Thriller",23679,1971-03-01,
34,tt0266164,2013-03-12,2013-03-12,,Napoleon,https://www.imdb.com/title/tt0266164/,tvMiniSeries,8.1,240,2000,"Documentary, Biography, History, War",283,2000-11-08,
35,tt0892391,2013-03-12,2013-03-12,,The Meerkats,https://www.imdb.com/title/tt0892391/,movie,7.4,83,2008,Documentary,1403,2008-10-15,James Honeyborne
36,tt0963807,2013-03-12,2013-03-12,,I.O.U.S.A.,https://www.imdb.com/title/tt0963807/,movie,7.6,85,2008,Documentary,1798,2008-01-19,Patrick Creadon
37,tt0912593,2013-03-12,2013-03-12,,No End in Sight,https://www.imdb.com/title/tt0912593/,movie,8.3,102,2007,"Documentary, War",7863,2007-01-22,Charles Ferguson
38,tt0067921,2013-03-12,2013-03-12,,Valdez Is Coming,https://www.imdb.com/title/tt0067921/,movie,6.8,90,1971,Western,3004,1971-04-09,Edwin Sherin
39,tt0199727,2013-03-12,2013-03-12,,"Love, Honour and Obey",https://www.imdb.com/title/tt0199727/,movie,6.5,103,2000,"Comedy, Crime",4834,2000-04-07,"Dominic Anciano, Ray Burdis"
40,tt0080310,2013-03-12,2013-03-12,,'Breaker' Morant,https://www.imdb.com/title/tt0080310/,movie,7.9,107,1980,"Drama, History, War",11249,1980-05-12,Bruce Beresford
41,tt0066549,2013-03-12,2013-03-12,,Waterloo,https://www.imdb.com/title/tt0066549/,movie,7.3,134,1970,"Action, Biography, Drama, History, War",7421,1970-10-26,Sergey Bondarchuk
42,tt0105226,2013-03-12,2013-03-12,,Red Rock West,https://www.imdb.com/title/tt0105226/,movie,7.0,98,1993,"Crime, Drama, Thriller",18384,1993-05-14,John Dahl
43,tt0048434,2013-03-12,2013-03-12,,Nuit et brouillard,https://www.imdb.com/title/tt0048434/,short,8.6,32,1956,"Documentary, Short, History, War",15502,1956-01-31,Alain Resnais
44,tt0114671,2013-03-12,2013-03-12,,Land and Freedom,https://www.imdb.com/title/tt0114671/,movie,7.6,109,1995,"Drama, War",9306,1995-04-07,Ken Loach
45,tt0064916,2013-03-12,2013-03-12,,Ehi amico... c'è Sabata. Hai chiuso!,https://www.imdb.com/title/tt0064916/,movie,6.8,111,1969,Western,3888,1969-09-16,Gianfranco Parolini
46,tt0077270,2013-03-12,2013-03-12,,The Boys in Company C,https://www.imdb.com/title/tt0077270/,movie,7.0,125,1978,"Drama, War",2673,1978-02-02,Sidney J. Furie
47,tt0057831,2013-03-12,2013-03-12,,Alexis Zorbas,https://www.imdb.com/title/tt0057831/,movie,7.7,142,1964,"Comedy, Drama",18632,1964-12-14,Michael Cacoyannis
48,tt0081562,2013-03-12,2013-03-12,,Stir Crazy,https://www.imdb.com/title/tt0081562/,movie,6.8,111,1980,"Comedy, Crime",22630,1980-12-12,Sidney Poitier
49,tt0058947,2013-03-12,2013-03-12,,Battle of the Bulge,https://www.imdb.com/title/tt0058947/,movie,6.8,167,1965,"Drama, History, War",13339,1965-12-16,Ken Annakin
50,tt0379225,2013-03-12,2013-03-12,,The Corporation,https://www.imdb.com/title/tt0379225/,movie,8.1,145,2003,"Documentary, History",19580,2003-09-10,"Mark Achbar, Jennifer Abbott"
51,tt0080437,2013-03-12,2013-03-12,,The Big Red One,https://www.imdb.com/title/tt0080437/,movie,7.2,113,1980,"Drama, War",17348,1980-05-16,Samuel Fuller
52,tt0066049,2013-03-12,2013-03-12,,A Man Called Horse,https://www.imdb.com/title/tt0066049/,movie,6.9,114,1970,"Adventure, Drama, Western",7534,1970-04-02,Elliot Silverstein
53,tt0111732,2013-03-12,2013-03-12,,With Honors,https://www.imdb.com/title/tt0111732/,movie,6.7,101,1994,"Comedy, Drama",12355,1994-04-29,Alek Keshishian
54,tt0380268,2013-03-12,2013-03-12,,Cocaine Cowboys,https://www.imdb.com/title/tt0380268/,movie,7.8,118,2006,"Documentary, Crime, History",11860,2006-04-26,Billy Corben
55,tt0141974,2013-03-12,2013-03-12,,The War Zone,https://www.imdb.com/title/tt0141974/,movie,7.4,98,1999,"Drama, Thriller",9030,1999-01-29,Tim Roth
56,tt1016268,2013-03-12,2013-03-12,,Enron: The Smartest Guys in the Room,https://www.imdb.com/title/tt1016268/,movie,7.7,110,2005,Documentary,15252,2005-04-22,Alex Gibney
57,tt0113552,2013-03-12,2013-03-12,,Kiss of Death,https://www.imdb.com/title/tt0113552/,movie,5.9,101,1995,"Action, Crime, Thriller",15823,1995-04-21,Barbet Schroeder
58,tt0074806,2013-03-12,2013-03-12,,The Little Girl Who Lives Down the Lane,https://www.imdb.com/title/tt0074806/,movie,7.1,100,1976,"Drama, Horror, Mystery, Thriller",11361,1976-05-31,Nicolas Gessner
59,tt0111205,2013-03-12,2013-03-12,,Sister My Sister,https://www.imdb.com/title/tt0111205/,movie,6.8,89,1994,"Drama, Thriller",2918,1994-12-15,Nancy Meckler
60,tt0093223,2013-03-12,2013-03-12,,House of Games,https://www.imdb.com/title/tt0093223/,movie,7.3,102,1987,"Crime, Thriller",18660,1987-09-04,David Mamet
61,tt0120070,2013-03-12,2013-03-12,,Savior,https://www.imdb.com/title/tt0120070/,movie,7.3,103,1998,"Drama, War",9589,1998-05-01,Predrag Antonijevic
62,tt0147004,2013-03-12,2013-03-12,,Little Voice,https://www.imdb.com/title/tt0147004/,movie,7.0,97,1998,"Comedy, Drama, Music, Romance",15092,1998-09-18,Mark Herman
63,tt0814075,2013-03-12,2013-03-12,,Deliver Us from Evil,https://www.imdb.com/title/tt0814075/,movie,8.0,101,2006,"Documentary, Crime",9331,2006-06-24,Amy Berg
64,tt0073092,2013-03-12,2013-03-12,,Hard Times,https://www.imdb.com/title/tt0073092/,movie,7.3,93,1975,"Crime, Drama, Sport",8316,1975-09-04,Walter Hill
65,tt0044008,2013-03-12,2013-03-12,,Scrooge,https://www.imdb.com/title/tt0044008/,movie,8.1,86,1951,"Drama, Fantasy",18053,1951-10-31,Brian Desmond Hurst
66,tt0060182,2013-03-12,2013-03-12,,Born Free,https://www.imdb.com/title/tt0060182/,movie,7.3,95,1966,"Adventure, Drama, Family",5443,1966-03-14,"James Hill, Tom McGowan"
67,tt0089869,2013-03-12,2013-03-12,,The Quiet Earth,https://www.imdb.com/title/tt0089869/,movie,6.8,91,1985,"Drama, Mystery, Sci-Fi",22901,1985-09-08,Geoff Murphy
68,tt0846789,2013-03-12,2013-03-12,,The Secret,https://www.imdb.com/title/tt0846789/,video,5.7,90,2006,Documentary,11268,2006-03-26,Drew Heriot
69,tt0067588,2013-03-12,2013-03-12,,Play Misty for Me,https://www.imdb.com/title/tt0067588/,movie,7.0,102,1971,Thriller,23032,1971-10-20,Clint Eastwood
70,tt0075968,2013-03-12,2013-03-12,,The Duellists,https://www.imdb.com/title/tt0075968/,movie,7.5,100,1977,"Drama, War",17574,1977-05-22,Ridley Scott
71,tt0100485,2013-03-12,2013-03-12,,Revenge,https://www.imdb.com/title/tt0100485/,movie,6.2,124,1990,"Action, Crime, Drama, Romance, Thriller",14965,1990-02-16,Tony Scott
72,tt1286130,2013-03-12,2013-03-12,,The Plan,https://www.imdb.com/title/tt1286130/,video,7.1,112,2009,"Action, Adventure, Drama, Romance, Sci-Fi",17315,2009-10-27,Edward James Olmos
73,tt0134154,2013-03-12,2013-03-12,,Ride with the Devil,https://www.imdb.com/title/tt0134154/,movie,6.8,138,1999,"Drama, Romance, War, Western",12207,1999-09-09,Ang Lee
74,tt0075213,2013-03-12,2013-03-12,,The Shootist,https://www.imdb.com/title/tt0075213/,movie,7.7,100,1976,"Drama, Romance, Western",20075,1976-08-11,Don Siegel
75,tt0074452,2013-03-12,2013-03-12,,The Eagle Has Landed,https://www.imdb.com/title/tt0074452/,movie,6.9,135,1976,"Adventure, Drama, Thriller, War",17136,1976-12-25,John Sturges
76,tt0115163,2013-03-12,2013-03-12,,Early Edition,https://www.imdb.com/title/tt0115163/,tvSeries,7.5,41,1996,"Adventure, Comedy, Drama, Fantasy",10488,1996-09-28,
77,tt0362590,2013-03-12,2013-03-12,,Employee of the Month,https://www.imdb.com/title/tt0362590/,movie,6.2,97,2004,"Comedy, Drama",9111,2004-01-17,Mitch Rouse
