Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0112817,2013-03-16,2013-03-16,,Dead Man,https://www.imdb.com/title/tt0112817/,movie,7.7,121,1995,"Drama, Fantasy, Western",83403,1995-05-27,Jim Jarmusch
2,tt1175709,2013-03-16,2013-03-16,,All Good Things,https://www.imdb.com/title/tt1175709/,movie,6.3,101,2010,"Crime, Drama, Mystery, Romance, Thriller",49596,2010-11-05,Andrew Jarecki
3,tt0393109,2013-03-16,2013-03-16,,Brick,https://www.imdb.com/title/tt0393109/,movie,7.4,110,2005,"Action, Crime, Drama, Mystery, Thriller",94614,2005-01-31,Rian Johnson
4,tt0054698,2013-03-16,2013-03-16,,Breakfast at Tiffany's,https://www.imdb.com/title/tt0054698/,movie,7.7,115,1961,"Comedy, Drama, Romance",150927,1961-10-05,Blake Edwards
5,tt0249462,2013-03-16,2013-03-16,,Billy Elliot,https://www.imdb.com/title/tt0249462/,movie,7.7,110,2000,"Drama, Music",114656,2000-05-19,Stephen Daldry
6,tt1462758,2013-03-16,2013-03-16,,Buried,https://www.imdb.com/title/tt1462758/,movie,7.0,95,2010,"Drama, Mystery, Thriller",138962,2010-01-23,Rodrigo Cortés
7,tt0104036,2013-03-16,2013-03-16,,The Crying Game,https://www.imdb.com/title/tt0104036/,movie,7.3,112,1992,"Crime, Drama, Romance, Thriller",47256,1992-09-02,Neil Jordan
8,tt0795351,2013-03-16,2013-03-16,,Case 39,https://www.imdb.com/title/tt0795351/,movie,6.2,109,2009,"Horror, Mystery, Thriller",71228,2009-08-13,Christian Alvart
9,tt0109506,2013-03-16,2013-03-16,,The Crow,https://www.imdb.com/title/tt0109506/,movie,7.6,102,1994,"Action, Drama, Fantasy",154814,1994-05-10,Alex Proyas
10,tt0363163,2013-03-16,2013-03-16,,Der Untergang,https://www.imdb.com/title/tt0363163/,movie,8.2,156,2004,"Biography, Drama, History, War",303845,2004-09-08,Oliver Hirschbiegel
11,tt0317303,2013-03-16,2013-03-16,,Daddy Day Care,https://www.imdb.com/title/tt0317303/,movie,5.6,92,2003,"Comedy, Family",58340,2003-05-04,Steve Carr
12,tt0134273,2013-03-16,2013-03-16,,8MM,https://www.imdb.com/title/tt0134273/,movie,6.5,123,1999,"Mystery, Thriller",115614,1999-02-19,Joel Schumacher
13,tt0154506,2013-03-16,2013-03-16,,Following,https://www.imdb.com/title/tt0154506/,movie,7.6,69,1998,"Crime, Mystery, Thriller",78117,1998-09-12,Christopher Nolan
14,tt0119217,2013-03-16,2013-03-16,,Good Will Hunting,https://www.imdb.com/title/tt0119217/,movie,8.3,126,1997,"Drama, Romance",762262,1997-12-02,Gus Van Sant
15,tt0280707,2013-03-16,2013-03-16,,Gosford Park,https://www.imdb.com/title/tt0280707/,movie,7.3,131,2001,"Comedy, Drama, Mystery",73336,2001-11-07,Robert Altman
16,tt0097493,2013-03-16,2013-03-16,,Heathers,https://www.imdb.com/title/tt0097493/,movie,7.3,103,1988,"Comedy, Crime",77610,1988-10-01,Michael Lehmann
17,tt1591095,2013-03-16,2013-03-16,,Insidious,https://www.imdb.com/title/tt1591095/,movie,6.9,103,2010,"Horror, Mystery, Thriller",252799,2010-09-14,James Wan
18,tt1285309,2013-03-16,2013-03-16,,The Joneses,https://www.imdb.com/title/tt1285309/,movie,6.5,96,2009,Drama,36828,2009-09-13,Derrick Borte
19,tt0419887,2013-03-16,2013-03-16,,The Kite Runner,https://www.imdb.com/title/tt0419887/,movie,7.6,128,2007,Drama,74268,2007-10-05,Marc Forster
20,tt1139797,2013-03-16,2013-03-16,,Låt den rätte komma in,https://www.imdb.com/title/tt1139797/,movie,7.9,114,2008,"Drama, Horror, Romance",194611,2008-01-26,Tomas Alfredson
21,tt0104691,2013-03-16,2013-03-16,,The Last of the Mohicans,https://www.imdb.com/title/tt0104691/,movie,7.8,112,1992,"Action, Adventure, Drama, Romance, War",135740,1992-08-26,Michael Mann
22,tt0093389,2013-03-16,2013-03-16,,The Last Emperor,https://www.imdb.com/title/tt0093389/,movie,7.8,163,1987,"Biography, Drama, History",84791,1987-10-04,Bernardo Bertolucci
23,tt1219289,2013-03-16,2013-03-16,,Limitless,https://www.imdb.com/title/tt1219289/,movie,7.4,105,2011,"Mystery, Sci-Fi, Thriller",490489,2011-03-08,Neil Burger
24,tt1126618,2013-03-16,2013-03-16,,Morning Glory,https://www.imdb.com/title/tt1126618/,movie,6.5,107,2010,"Comedy, Drama, Romance",67013,2010-11-10,Roger Michell
25,tt0212338,2013-03-16,2013-03-16,,Meet the Parents,https://www.imdb.com/title/tt0212338/,movie,7.0,108,2000,"Comedy, Romance",292477,2000-10-06,Jay Roach
26,tt0243133,2013-03-16,2013-03-16,,The Man Who Wasn't There,https://www.imdb.com/title/tt0243133/,movie,7.6,116,2001,"Crime, Drama",97089,2001-05-13,"Ethan Coen, Joel Coen"
27,tt0209144,2013-03-16,2013-03-16,,Memento,https://www.imdb.com/title/tt0209144/,movie,8.5,113,2000,"Mystery, Thriller",1026422,2000-09-05,Christopher Nolan
28,tt0318462,2013-03-16,2013-03-16,,Diarios de motocicleta,https://www.imdb.com/title/tt0318462/,movie,7.8,126,2004,"Adventure, Biography, Drama",91465,2004-01-15,Walter Salles
29,tt0978762,2013-03-16,2013-03-16,,Mary and Max,https://www.imdb.com/title/tt0978762/,movie,8.1,92,2009,"Animation, Comedy, Drama",150337,2009-01-15,Adam Elliot
30,tt0437405,2013-03-16,2013-03-16,,Paper Man,https://www.imdb.com/title/tt0437405/,movie,6.6,110,2009,"Comedy, Drama",17307,2009-06-15,"Michele Mulroney, Kieran Mulroney"
31,tt0084649,2013-03-16,2013-03-16,,The Secret of NIMH,https://www.imdb.com/title/tt0084649/,movie,7.6,82,1982,"Animation, Adventure, Drama, Family, Fantasy, Sci-Fi, Thriller",32897,1982-07-02,Don Bluth
32,tt0081633,2013-03-16,2013-03-16,,Time Bandits,https://www.imdb.com/title/tt0081633/,movie,7.0,116,1981,"Adventure, Comedy, Fantasy, Sci-Fi",53275,1981-07-16,Terry Gilliam
33,tt1403865,2013-03-16,2013-03-16,,True Grit,https://www.imdb.com/title/tt1403865/,movie,7.6,110,2010,"Adventure, Drama, Western",283102,2010-12-14,"Ethan Coen, Joel Coen"
34,tt0362225,2013-03-16,2013-03-16,,Ne le dis à personne,https://www.imdb.com/title/tt0362225/,movie,7.5,131,2006,"Crime, Drama, Mystery, Romance, Thriller",46359,2006-10-30,Guillaume Canet
35,tt0120889,2013-03-16,2013-03-16,,What Dreams May Come,https://www.imdb.com/title/tt0120889/,movie,7.0,113,1998,"Drama, Fantasy, Romance",95134,1998-09-28,Vincent Ward
36,tt1235189,2013-03-16,2013-03-16,,Wild Target,https://www.imdb.com/title/tt1235189/,movie,6.8,98,2010,"Action, Comedy, Crime",33850,2010-04-08,Jonathan Lynn
37,tt0480025,2013-03-16,2013-03-16,,This Is England,https://www.imdb.com/title/tt0480025/,movie,7.7,101,2006,"Crime, Drama",109542,2006-09-12,Shane Meadows
38,tt1235124,2013-03-16,2013-03-16,,Dorian Gray,https://www.imdb.com/title/tt1235124/,movie,6.3,112,2009,"Drama, Fantasy, Thriller",57759,2009-09-07,Oliver Parker
39,tt0935075,2013-03-16,2013-03-16,,Rabbit Hole,https://www.imdb.com/title/tt0935075/,movie,7.0,91,2010,Drama,45268,2010-09-13,John Cameron Mitchell
40,tt0139809,2013-03-16,2013-03-16,,The Thirteenth Floor,https://www.imdb.com/title/tt0139809/,movie,7.0,100,1999,"Mystery, Sci-Fi, Thriller",61530,1999-04-16,Josef Rusnak
41,tt0272338,2013-03-16,2013-03-16,,Punch-Drunk Love,https://www.imdb.com/title/tt0272338/,movie,7.3,95,2002,"Comedy, Drama, Romance, Thriller",132062,2002-05-19,Paul Thomas Anderson
42,tt1189340,2013-03-16,2013-03-16,,The Lincoln Lawyer,https://www.imdb.com/title/tt1189340/,movie,7.3,118,2011,"Crime, Drama, Thriller",195686,2011-03-10,Brad Furman
43,tt0181536,2013-03-16,2013-03-16,,Finding Forrester,https://www.imdb.com/title/tt0181536/,movie,7.3,136,2000,Drama,78899,2000-12-20,Gus Van Sant
44,tt1296898,2013-03-16,2013-03-16,,Waiting for Forever,https://www.imdb.com/title/tt1296898/,movie,6.0,95,2010,"Comedy, Drama, Romance",19202,2010-02-10,James Keach
45,tt1091722,2013-03-16,2013-03-16,,Adventureland,https://www.imdb.com/title/tt1091722/,movie,6.8,107,2009,"Comedy, Drama, Romance",146323,2009-01-19,Greg Mottola
46,tt0118755,2013-03-16,2013-03-16,,The Borrowers,https://www.imdb.com/title/tt0118755/,movie,5.9,89,1997,"Adventure, Comedy, Family, Fantasy",18638,1997-12-05,Peter Hewitt
47,tt0412019,2013-03-16,2013-03-16,,Broken Flowers,https://www.imdb.com/title/tt0412019/,movie,7.2,106,2005,"Comedy, Drama, Mystery, Romance",92002,2005-05-17,Jim Jarmusch
48,tt0142342,2013-03-16,2013-03-16,,Big Daddy,https://www.imdb.com/title/tt0142342/,movie,6.4,93,1999,"Comedy, Drama",184696,1999-06-17,Dennis Dugan
49,tt0379725,2013-03-16,2013-03-16,,Capote,https://www.imdb.com/title/tt0379725/,movie,7.4,114,2005,"Biography, Crime, Drama, History",116754,2005-09-02,Bennett Miller
50,tt0968264,2013-03-16,2013-03-16,,The Conspirator,https://www.imdb.com/title/tt0968264/,movie,6.9,122,2010,"Crime, Drama, History",26368,2010-09-11,Robert Redford
51,tt0458339,2013-03-16,2013-03-16,,Captain America: The First Avenger,https://www.imdb.com/title/tt0458339/,movie,6.9,124,2011,"Action, Adventure, Sci-Fi",661724,2011-07-19,Joe Johnston
52,tt0795368,2013-03-16,2013-03-16,,Death at a Funeral,https://www.imdb.com/title/tt0795368/,movie,7.4,90,2007,Comedy,101651,2007-03-02,Frank Oz
53,tt1270761,2013-03-16,2013-03-16,,Don't Be Afraid of the Dark,https://www.imdb.com/title/tt1270761/,movie,5.6,99,2010,"Fantasy, Horror, Thriller",44424,2010-11-06,Troy Nixey
54,tt0246578,2013-03-16,2013-03-16,,Donnie Darko,https://www.imdb.com/title/tt0246578/,movie,8.1,113,2001,"Drama, Sci-Fi, Thriller",695440,2001-01-19,Richard Kelly
55,tt0116191,2013-03-16,2013-03-16,,Emma,https://www.imdb.com/title/tt0116191/,movie,6.7,120,1996,"Comedy, Drama, Romance",32707,1996-06-07,Douglas McGrath
56,tt0780511,2013-03-16,2013-03-16,,Everybody's Fine,https://www.imdb.com/title/tt0780511/,movie,7.1,99,2009,"Adventure, Drama",55978,2009-11-03,Kirk Jones
57,tt1587707,2013-03-16,2013-03-16,,Exit Through the Gift Shop,https://www.imdb.com/title/tt1587707/,movie,8.0,87,2010,"Documentary, Comedy, Crime, History",58590,2010-01-24,Banksy
58,tt0338013,2013-03-16,2013-03-16,,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,movie,8.3,108,2004,"Drama, Romance, Sci-Fi",821142,2004-03-09,Michel Gondry
59,tt1531663,2013-03-16,2013-03-16,,Everything Must Go,https://www.imdb.com/title/tt1531663/,movie,6.4,97,2010,"Comedy, Drama",45719,2010-09-10,Dan Rush
60,tt0133751,2013-03-16,2013-03-16,,The Faculty,https://www.imdb.com/title/tt0133751/,movie,6.5,104,1998,"Horror, Sci-Fi",103121,1998-11-12,Robert Rodriguez
61,tt0095159,2013-03-16,2013-03-16,,A Fish Called Wanda,https://www.imdb.com/title/tt0095159/,movie,7.6,108,1988,"Comedy, Crime",122104,1988-07-07,"Charles Crichton, John Cleese"
62,tt0104254,2013-03-16,2013-03-16,,FernGully: The Last Rainforest,https://www.imdb.com/title/tt0104254/,movie,6.5,76,1992,"Animation, Adventure, Family, Fantasy",24635,1992-04-10,Bill Kroyer
63,tt0104348,2013-03-16,2013-03-16,,Glengarry Glen Ross,https://www.imdb.com/title/tt0104348/,movie,7.8,100,1992,"Crime, Drama, Mystery",88426,1992-09-10,James Foley
64,tt1132620,2013-03-16,2013-03-16,,Män som hatar kvinnor,https://www.imdb.com/title/tt1132620/,movie,7.8,152,2009,"Crime, Drama, Mystery, Thriller",197418,2009-02-27,Niels Arden Oplev
65,tt0110005,2013-03-16,2013-03-16,,Heavenly Creatures,https://www.imdb.com/title/tt0110005/,movie,7.4,99,1994,"Biography, Crime, Drama, Thriller",55874,1994-09-08,Peter Jackson
66,tt0113497,2013-03-16,2013-03-16,,Jumanji,https://www.imdb.com/title/tt0113497/,movie,7.0,104,1995,"Adventure, Comedy, Family, Fantasy",268328,1995-12-15,Joe Johnston
67,tt0245686,2013-03-16,2013-03-16,,Joe Dirt,https://www.imdb.com/title/tt0245686/,movie,5.9,91,2001,"Adventure, Comedy, Drama",47514,2001-04-11,Dennie Gordon
68,tt0079417,2013-03-16,2013-03-16,,Kramer vs. Kramer,https://www.imdb.com/title/tt0079417/,movie,7.8,105,1979,Drama,117974,1979-12-17,Robert Benton
69,tt1440161,2013-03-16,2013-03-16,,A Little Bit of Heaven,https://www.imdb.com/title/tt1440161/,movie,6.3,106,2011,"Comedy, Drama, Fantasy, Romance",26385,2011-02-04,Nicole Kassell
70,tt0292963,2013-03-16,2013-03-16,,Before the Devil Knows You're Dead,https://www.imdb.com/title/tt0292963/,movie,7.3,117,2007,"Crime, Drama, Thriller",90060,2007-09-07,Sidney Lumet
71,tt1581835,2013-03-16,2013-03-16,,Daydream Nation,https://www.imdb.com/title/tt1581835/,movie,6.4,98,2010,"Drama, Romance",11744,2010-09-10,Michael Goldbach
72,tt0119174,2013-03-16,2013-03-16,,The Game,https://www.imdb.com/title/tt0119174/,movie,7.8,129,1997,"Drama, Mystery, Thriller",313818,1997-09-03,David Fincher
73,tt0139134,2013-03-16,2013-03-16,,Cruel Intentions,https://www.imdb.com/title/tt0139134/,movie,6.8,97,1999,"Drama, Romance",168595,1999-03-05,Roger Kumble
74,tt0104694,2013-03-16,2013-03-16,,A League of Their Own,https://www.imdb.com/title/tt0104694/,movie,7.2,128,1992,"Comedy, Drama, Family, Sport",84012,1992-07-01,Penny Marshall
75,tt0335266,2013-03-16,2013-03-16,,Lost in Translation,https://www.imdb.com/title/tt0335266/,movie,7.8,102,2003,Drama,373137,2003-08-29,Sofia Coppola
76,tt0110322,2013-03-16,2013-03-16,,Legends of the Fall,https://www.imdb.com/title/tt0110322/,movie,7.5,133,1994,"Drama, Romance, War, Western",132694,1994-12-23,Edward Zwick
77,tt1470827,2013-03-16,2013-03-16,,Monsters,https://www.imdb.com/title/tt1470827/,movie,6.4,94,2010,"Drama, Sci-Fi, Thriller",84177,2010-03-13,Gareth Edwards
78,tt0280590,2013-03-16,2013-03-16,,Mr. Deeds,https://www.imdb.com/title/tt0280590/,movie,5.8,96,2002,"Comedy, Romance",126630,2002-06-28,Steven Brill
79,tt0213847,2013-03-16,2013-03-16,,Malèna,https://www.imdb.com/title/tt0213847/,movie,7.5,108,2000,"Comedy, Drama, Romance, War",79721,2000-10-26,Giuseppe Tornatore
80,tt0117008,2013-03-16,2013-03-16,,Matilda,https://www.imdb.com/title/tt0117008/,movie,6.9,98,1996,"Comedy, Family, Fantasy",110885,1996-07-28,Danny DeVito
81,tt0074860,2013-03-16,2013-03-16,,Marathon Man,https://www.imdb.com/title/tt0074860/,movie,7.5,125,1976,"Crime, Thriller",52347,1976-10-06,John Schlesinger
82,tt0119643,2013-03-16,2013-03-16,,Meet Joe Black,https://www.imdb.com/title/tt0119643/,movie,7.2,178,1998,"Drama, Fantasy, Romance",194581,1998-11-02,Martin Brest
83,tt0064665,2013-03-16,2013-03-16,,Midnight Cowboy,https://www.imdb.com/title/tt0064665/,movie,7.9,113,1969,Drama,90022,1969-05-25,John Schlesinger
84,tt0119738,2013-03-16,2013-03-16,,My Best Friend's Wedding,https://www.imdb.com/title/tt0119738/,movie,6.3,105,1997,"Comedy, Drama, Romance",116957,1997-06-20,P.J. Hogan
85,tt1458175,2013-03-16,2013-03-16,,The Next Three Days,https://www.imdb.com/title/tt1458175/,movie,7.4,133,2010,"Action, Crime, Drama, Romance, Thriller",167344,2010-11-09,Paul Haggis
86,tt0335345,2013-03-16,2013-03-16,,The Passion of the Christ,https://www.imdb.com/title/tt0335345/,movie,7.2,127,2004,Drama,200916,2004-02-25,Mel Gibson
87,tt1192628,2013-03-16,2013-03-16,,Rango,https://www.imdb.com/title/tt1192628/,movie,7.2,107,2011,"Animation, Adventure, Comedy, Family, Western",214900,2011-02-14,Gore Verbinski
88,tt0376136,2013-03-16,2013-03-16,,The Rum Diary,https://www.imdb.com/title/tt0376136/,movie,6.2,119,2011,"Comedy, Drama",94620,2011-10-13,Bruce Robinson
89,tt0093822,2013-03-16,2013-03-16,,Raising Arizona,https://www.imdb.com/title/tt0093822/,movie,7.4,94,1987,"Comedy, Crime",116185,1987-03-06,"Ethan Coen, Joel Coen"
90,tt1612774,2013-03-16,2013-03-16,,Rubber,https://www.imdb.com/title/tt1612774/,movie,5.8,82,2010,"Comedy, Fantasy, Horror",31096,2010-05-15,Quentin Dupieux
91,tt1650062,2013-03-16,2013-03-16,,Super 8,https://www.imdb.com/title/tt1650062/,movie,7.0,112,2011,"Mystery, Sci-Fi, Thriller",319811,2011-06-09,J.J. Abrams
92,tt0397101,2013-03-16,2013-03-16,,The Skeleton Key,https://www.imdb.com/title/tt0397101/,movie,6.5,104,2005,"Drama, Horror, Mystery, Thriller",99564,2005-07-29,Iain Softley
93,tt0098384,2013-03-16,2013-03-16,,Steel Magnolias,https://www.imdb.com/title/tt0098384/,movie,7.3,117,1989,"Comedy, Drama, Romance",41673,1989-11-05,Herbert Ross
94,tt0108160,2013-03-16,2013-03-16,,Sleepless in Seattle,https://www.imdb.com/title/tt0108160/,movie,6.8,105,1993,"Comedy, Drama, Romance",144368,1993-06-25,Nora Ephron
95,tt0117666,2013-03-16,2013-03-16,,Sling Blade,https://www.imdb.com/title/tt0117666/,movie,8.0,135,1996,Drama,81357,1996-08-30,Billy Bob Thornton
96,tt0122718,2013-03-16,2013-03-16,,Small Soldiers,https://www.imdb.com/title/tt0122718/,movie,6.1,108,1998,"Action, Adventure, Comedy, Family, Sci-Fi",85999,1998-07-10,Joe Dante
97,tt0164912,2013-03-16,2013-03-16,,Stuart Little,https://www.imdb.com/title/tt0164912/,movie,5.9,84,1999,"Adventure, Comedy, Family, Fantasy",114584,1999-12-05,Rob Minkoff
98,tt0160862,2013-03-16,2013-03-16,,She's All That,https://www.imdb.com/title/tt0160862/,movie,5.9,95,1999,"Comedy, Romance",78015,1999-01-19,Robert Iscove
99,tt0117951,2013-03-16,2013-03-16,,Trainspotting,https://www.imdb.com/title/tt0117951/,movie,8.2,93,1996,Drama,587653,1996-02-23,Danny Boyle
100,tt0800369,2013-03-16,2013-03-16,,Thor,https://www.imdb.com/title/tt0800369/,movie,7.0,115,2011,"Action, Adventure, Fantasy, Sci-Fi",677276,2011-04-17,Kenneth Branagh
101,tt0365376,2013-03-16,2013-03-16,,"Janghwa, Hongryeon",https://www.imdb.com/title/tt0365376/,movie,7.2,115,2003,"Drama, Horror, Thriller",50509,2003-06-13,Jee-woon Kim
102,tt0420238,2013-03-16,2013-03-16,,The Tale of Despereaux,https://www.imdb.com/title/tt0420238/,movie,6.1,93,2008,"Animation, Adventure, Comedy, Family, Fantasy",34038,2008-12-17,"Robert Stevenhagen, Sam Fell"
103,tt0108550,2013-03-16,2013-03-16,,What's Eating Gilbert Grape,https://www.imdb.com/title/tt0108550/,movie,7.8,118,1993,Drama,196735,1993-10-01,Lasse Hallström
104,tt1602098,2013-03-16,2013-03-16,,Albert Nobbs,https://www.imdb.com/title/tt1602098/,movie,6.7,113,2011,"Drama, Romance",22167,2011-09-02,Rodrigo García
105,tt0093010,2013-03-16,2013-03-16,,Fatal Attraction,https://www.imdb.com/title/tt0093010/,movie,6.9,119,1987,"Drama, Thriller",67060,1987-09-16,Adrian Lyne
106,tt0460791,2013-03-16,2013-03-16,,The Fall,https://www.imdb.com/title/tt0460791/,movie,7.9,117,2006,"Adventure, Drama, Fantasy",101473,2006-09-09,Tarsem Singh
107,tt1028532,2013-03-16,2013-03-16,,Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/,movie,8.1,93,2009,"Drama, Family",222111,2009-06-13,Lasse Hallström
108,tt1063669,2013-03-16,2013-03-16,,Die Welle,https://www.imdb.com/title/tt1063669/,movie,7.6,107,2008,"Drama, Thriller",94921,2008-01-18,Dennis Gansel
109,tt2040560,2013-03-16,2013-03-16,,The Pact,https://www.imdb.com/title/tt2040560/,movie,5.8,89,2012,"Horror, Mystery, Thriller",22234,2012-01-20,Nicholas McCarthy
110,tt1349451,2013-03-16,2013-03-16,,Butter,https://www.imdb.com/title/tt1349451/,movie,6.2,90,2011,"Comedy, Drama",19404,2011-09-04,Jim Field Smith
111,tt0266308,2013-03-16,2013-03-16,,Batoru rowaiaru,https://www.imdb.com/title/tt0266308/,movie,7.7,114,2000,"Adventure, Drama, Sci-Fi, Thriller",158859,2000-10-31,Kinji Fukasaku
112,tt0253474,2013-03-16,2013-03-16,,The Pianist,https://www.imdb.com/title/tt0253474/,movie,8.5,150,2002,"Biography, Drama, Music, War",638479,2002-05-24,Roman Polanski
113,tt1486192,2013-03-16,2013-03-16,,The Raven,https://www.imdb.com/title/tt1486192/,movie,6.4,110,2012,"Crime, Mystery, Thriller",79487,2012-03-09,James McTeigue
114,tt1226774,2013-03-16,2013-03-16,,In the Loop,https://www.imdb.com/title/tt1226774/,movie,7.5,106,2009,Comedy,50901,2009-01-22,Armando Iannucci
115,tt0056801,2013-03-16,2013-03-16,,8½,https://www.imdb.com/title/tt0056801/,movie,8.1,138,1963,Drama,99076,1963-02-13,Federico Fellini
116,tt0115433,2013-03-16,2013-03-16,,101 Dalmatians,https://www.imdb.com/title/tt0115433/,movie,5.7,103,1996,"Adventure, Comedy, Crime, Family",91896,1996-11-18,Stephen Herek
117,tt0268126,2013-03-16,2013-03-16,,Adaptation.,https://www.imdb.com/title/tt0268126/,movie,7.7,115,2002,"Comedy, Drama",164754,2002-12-03,Spike Jonze
118,tt0983193,2013-03-16,2013-03-16,,The Adventures of Tintin,https://www.imdb.com/title/tt0983193/,movie,7.3,107,2011,"Animation, Action, Adventure, Family, Mystery",201883,2011-10-23,Steven Spielberg
119,tt0043274,2013-03-16,2013-03-16,,Alice in Wonderland,https://www.imdb.com/title/tt0043274/,movie,7.4,75,1951,"Animation, Adventure, Family, Fantasy, Musical",115884,1951-07-26,"Clyde Geronimi, Hamilton Luske, Wilfred Jackson"
120,tt0802948,2013-03-16,2013-03-16,,An American Crime,https://www.imdb.com/title/tt0802948/,movie,7.3,98,2007,"Biography, Crime, Drama, Horror",29743,2007-01-19,Tommy O'Haver
121,tt0082010,2013-03-16,2013-03-16,,An American Werewolf in London,https://www.imdb.com/title/tt0082010/,movie,7.6,97,1981,"Comedy, Horror",81387,1981-08-21,John Landis
122,tt1655442,2013-03-16,2013-03-16,,The Artist,https://www.imdb.com/title/tt1655442/,movie,7.9,100,2011,"Comedy, Drama, Romance",216700,2011-05-15,Michel Hazanavicius
123,tt0065421,2013-03-16,2013-03-16,,The AristoCats,https://www.imdb.com/title/tt0065421/,movie,7.1,78,1970,"Animation, Adventure, Comedy, Family, Musical",82290,1970-12-11,Wolfgang Reitherman
124,tt0119822,2013-03-16,2013-03-16,,As Good as It Gets,https://www.imdb.com/title/tt0119822/,movie,7.7,139,1997,"Comedy, Drama, Romance",253348,1997-12-06,James L. Brooks
125,tt0480239,2013-03-16,2013-03-16,,Atlas Shrugged: Part I,https://www.imdb.com/title/tt0480239/,movie,5.7,97,2011,"Drama, Mystery, Sci-Fi",12497,2011-04-15,Paul Johansson
126,tt0101410,2013-03-16,2013-03-16,,Barton Fink,https://www.imdb.com/title/tt0101410/,movie,7.7,116,1991,"Comedy, Drama, Thriller",104091,1991-05-18,"Ethan Coen, Joel Coen"
127,tt0103772,2013-03-16,2013-03-16,,Basic Instinct,https://www.imdb.com/title/tt0103772/,movie,6.9,127,1992,"Drama, Mystery, Thriller",156178,1992-03-20,Paul Verhoeven
128,tt1704573,2013-03-16,2013-03-16,,Bernie,https://www.imdb.com/title/tt1704573/,movie,6.8,99,2011,"Biography, Comedy, Crime, Drama",53642,2011-06-16,Richard Linklater
129,tt0086960,2013-03-16,2013-03-16,,Beverly Hills Cop,https://www.imdb.com/title/tt0086960/,movie,7.3,105,1984,"Action, Comedy, Crime",148528,1984-12-01,Martin Brest
130,tt0040522,2013-03-16,2013-03-16,,Ladri di biciclette,https://www.imdb.com/title/tt0040522/,movie,8.3,89,1948,Drama,126303,1948-11-24,Vittorio De Sica
131,tt0115734,2013-03-16,2013-03-16,,Bottle Rocket,https://www.imdb.com/title/tt0115734/,movie,7.0,91,1996,"Comedy, Crime, Drama",64043,1996-02-21,Wes Anderson
132,tt0914798,2013-03-16,2013-03-16,,The Boy in the Striped Pyjamas,https://www.imdb.com/title/tt0914798/,movie,7.8,94,2008,"Drama, War",169506,2008-08-28,Mark Herman
133,tt0106489,2013-03-16,2013-03-16,,A Bronx Tale,https://www.imdb.com/title/tt0106489/,movie,7.8,121,1993,"Crime, Drama, Romance",115888,1993-09-09,Robert De Niro
134,tt0242193,2013-03-16,2013-03-16,,Bully,https://www.imdb.com/title/tt0242193/,movie,7.0,108,2001,"Biography, Crime, Drama",32381,2001-06-15,Larry Clark
135,tt1702425,2013-03-16,2013-03-16,,Casa de mi Padre,https://www.imdb.com/title/tt1702425/,movie,5.5,84,2012,"Comedy, Western",19127,2012-03-13,Matt Piedmont
136,tt0056923,2013-03-16,2013-03-16,,Charade,https://www.imdb.com/title/tt0056923/,movie,8.0,113,1963,"Comedy, Mystery, Romance, Thriller",60037,1963-12-05,Stanley Donen
