Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0089218,2015-02-25,2015-02-25,,The Goonies,https://www.imdb.com/title/tt0089218/,movie,7.8,114,1985,"Adventure, Comedy, Family",216243,1985-06-07,Richard Donner
2,tt0110912,2015-02-25,2015-02-25,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1631644,1994-05-21,Quentin Tarantino
3,tt1907668,2015-02-25,2015-02-25,,Flight,https://www.imdb.com/title/tt1907668/,movie,7.3,138,2012,"Drama, Thriller",302059,2012-10-14,Robert Zemeckis
4,tt1694020,2015-02-25,2015-02-25,,The Guilt Trip,https://www.imdb.com/title/tt1694020/,movie,5.8,95,2012,"Comedy, Drama",33629,2012-12-19,Anne Fletcher
5,tt0790724,2015-02-25,2015-02-25,,Jack Reacher,https://www.imdb.com/title/tt0790724/,movie,7.0,130,2012,"Action, Crime, Thriller",283515,2012-12-10,Christopher McQuarrie
6,tt1234719,2015-02-25,2015-02-25,,Red Dawn,https://www.imdb.com/title/tt1234719/,movie,5.4,93,2012,"Action, Sci-Fi, Thriller",69375,2012-09-27,Dan Bradley
7,tt1074638,2015-02-25,2015-02-25,,Skyfall,https://www.imdb.com/title/tt1074638/,movie,7.8,143,2012,"Action, Adventure, Thriller",590636,2012-10-23,Sam Mendes
8,tt2101441,2015-02-25,2015-02-25,,Spring Breakers,https://www.imdb.com/title/tt2101441/,movie,5.3,94,2012,"Comedy, Crime, Drama",125952,2012-09-05,Harmony Korine
9,tt1935179,2015-02-25,2015-02-25,,Mud,https://www.imdb.com/title/tt1935179/,movie,7.4,130,2012,Drama,156422,2012-05-26,Jeff Nichols
10,tt1583421,2015-02-25,2015-02-25,,G.I. Joe: Retaliation,https://www.imdb.com/title/tt1583421/,movie,5.8,110,2013,"Action, Adventure, Sci-Fi, Thriller",165224,2013-03-11,Jon M. Chu
11,tt0816711,2015-02-25,2015-02-25,,World War Z,https://www.imdb.com/title/tt0816711/,movie,7.0,116,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",551271,2013-06-02,Marc Forster
12,tt1408101,2015-02-25,2015-02-25,,Star Trek Into Darkness,https://www.imdb.com/title/tt1408101/,movie,7.7,132,2013,"Action, Adventure, Sci-Fi",444617,2013-05-02,J.J. Abrams
13,tt1389096,2015-02-25,2015-02-25,,Stand Up Guys,https://www.imdb.com/title/tt1389096/,movie,6.5,95,2012,"Comedy, Crime, Thriller",50456,2012-09-30,Fisher Stevens
14,tt1980209,2015-02-25,2015-02-25,,Pain & Gain,https://www.imdb.com/title/tt1980209/,movie,6.4,129,2013,"Action, Comedy, Crime, Drama, Thriller",187212,2013-04-11,Michael Bay
15,tt2070862,2015-02-25,2015-02-25,,Temptation: Confessions of a Marriage Counselor,https://www.imdb.com/title/tt2070862/,movie,5.0,111,2013,"Drama, Thriller",10965,2013-03-16,Tyler Perry
