Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1049413,2013-04-23,2013-04-23,,Up,https://www.imdb.com/title/tt1049413/,movie,8.2,96,2009,"Animation, Adventure, Comedy, Family",840414,2009-05-13,"Pete Docter, Bob Peterson"
2,tt0110357,2013-04-23,2013-04-23,,The Lion King,https://www.imdb.com/title/tt0110357/,movie,8.5,88,1994,"Animation, Adventure, Drama, Family, Musical",829265,1994-05-07,"Rob Minkoff, Roger Allers"
3,tt0114709,2013-04-23,2013-04-23,,Toy Story,https://www.imdb.com/title/tt0114709/,movie,8.3,81,1995,"Animation, Adventure, Comedy, Family, Fantasy",787615,1995-11-19,John Lasseter
4,tt0266543,2013-04-23,2013-04-23,,Finding Nemo,https://www.imdb.com/title/tt0266543/,movie,8.1,100,2003,"Animation, Adventure, Comedy, Family",862963,2003-05-30,"Andrew Stanton, Lee Unkrich"
5,tt1323594,2013-04-23,2013-04-23,,Despicable Me,https://www.imdb.com/title/tt1323594/,movie,7.7,95,2010,"Animation, Comedy, Family, Fantasy",462584,2010-06-20,"Chris Renaud, Pierre Coffin"
6,tt0892769,2013-04-23,2013-04-23,,How to Train Your Dragon,https://www.imdb.com/title/tt0892769/,movie,8.1,98,2010,"Animation, Action, Adventure, Family, Fantasy",607853,2010-03-18,"Chris Sanders, Dean DeBlois"
7,tt0398286,2013-04-23,2013-04-23,,Tangled,https://www.imdb.com/title/tt0398286/,movie,7.8,100,2010,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",364435,2010-11-24,"Byron Howard, Nathan Greno"
8,tt0435761,2013-04-23,2013-04-23,,Toy Story 3,https://www.imdb.com/title/tt0435761/,movie,8.3,103,2010,"Animation, Adventure, Comedy, Family, Fantasy",677356,2010-06-12,Lee Unkrich
9,tt1217209,2013-04-23,2013-04-23,,Brave,https://www.imdb.com/title/tt1217209/,movie,7.1,93,2012,"Animation, Adventure, Comedy, Family, Fantasy",336936,2012-06-10,"Mark Andrews, Steve Purcell, Brenda Chapman"
10,tt0837562,2013-04-23,2013-04-23,,Hotel Transylvania,https://www.imdb.com/title/tt0837562/,movie,7.1,91,2012,"Animation, Comedy, Family, Fantasy, Horror",203752,2012-09-08,Genndy Tartakovsky
11,tt1446192,2013-04-23,2013-04-23,,Rise of the Guardians,https://www.imdb.com/title/tt1446192/,movie,7.3,97,2012,"Animation, Action, Adventure, Comedy, Family, Fantasy",144804,2012-10-10,Peter Ramsey
12,tt1772341,2013-04-23,2013-04-23,,Wreck-It Ralph,https://www.imdb.com/title/tt1772341/,movie,7.7,101,2012,"Animation, Adventure, Comedy, Family, Fantasy",342304,2012-11-01,Rich Moore
