Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0071562,2013-04-24,2013-04-24,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",994923,1974-12-12,Francis Ford Coppola
2,tt0068646,2013-04-24,2013-04-24,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1432469,1972-03-14,Francis Ford Coppola
3,tt0099685,2013-04-24,2013-04-24,,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Biography, Crime, Drama",900840,1990-09-09,Martin Scorsese
4,tt0102926,2013-04-24,2013-04-24,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1126621,1991-01-30,Jonathan Demme
5,tt0110912,2013-04-24,2013-04-24,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1631644,1994-05-21,Quentin Tarantino
6,tt0111161,2013-04-24,2013-04-24,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2087414,1994-09-10,Frank Darabont
7,tt0114369,2013-04-24,2013-04-24,,Se7en,https://www.imdb.com/title/tt0114369/,movie,8.6,127,1995,"Crime, Drama, Mystery, Thriller",1279825,1995-09-15,David Fincher
8,tt0118715,2013-04-24,2013-04-24,,The Big Lebowski,https://www.imdb.com/title/tt0118715/,movie,8.1,117,1998,"Comedy, Crime",660470,1998-02-15,"Joel Coen, Ethan Coen"
9,tt0401792,2013-04-24,2013-04-24,,Sin City,https://www.imdb.com/title/tt0401792/,movie,8.0,124,2005,"Crime, Thriller",714094,2005-03-28,"Frank Miller, Quentin Tarantino, Robert Rodriguez"
10,tt0372784,2013-04-24,2013-04-24,,Batman Begins,https://www.imdb.com/title/tt0372784/,movie,8.2,140,2005,"Action, Adventure",1187671,2005-05-31,Christopher Nolan
11,tt0407887,2013-04-24,2013-04-24,,The Departed,https://www.imdb.com/title/tt0407887/,movie,8.5,151,2006,"Crime, Drama, Thriller",1070009,2006-09-26,Martin Scorsese
12,tt0381061,2013-04-24,2013-04-24,,Casino Royale,https://www.imdb.com/title/tt0381061/,movie,8.0,144,2006,"Action, Adventure, Thriller",537924,2006-11-14,Martin Campbell
13,tt0822854,2013-04-24,2013-04-24,,Shooter,https://www.imdb.com/title/tt0822854/,movie,7.2,124,2007,"Action, Drama, Thriller",291070,2007-03-08,Antoine Fuqua
14,tt0468569,2013-04-24,2013-04-24,,The Dark Knight,https://www.imdb.com/title/tt0468569/,movie,9.0,152,2008,"Action, Crime, Drama, Thriller",2053871,2008-07-14,Christopher Nolan
15,tt0830515,2013-04-24,2013-04-24,,Quantum of Solace,https://www.imdb.com/title/tt0830515/,movie,6.6,106,2008,"Action, Adventure, Thriller",376574,2008-10-29,Marc Forster
