Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0120689,2013-04-23,2013-04-23,,The Green Mile,https://www.imdb.com/title/tt0120689/,movie,8.6,189,1999,"Crime, Drama, Fantasy, Mystery",1008496,1999-12-06,Frank Darabont
2,tt1853728,2013-04-22,2013-04-22,,Django Unchained,https://www.imdb.com/title/tt1853728/,movie,8.4,165,2012,"Drama, Western",1203280,2012-12-11,Quentin Tarantino
3,tt0068646,2013-04-23,2013-04-23,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1432483,1972-03-14,Francis Ford Coppola
4,tt0088847,2013-04-23,2013-04-23,,The Breakfast Club,https://www.imdb.com/title/tt0088847/,movie,7.9,97,1985,"Comedy, Drama",317284,1985-02-07,John Hughes
5,tt0099685,2013-04-23,2013-04-23,,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Biography, Crime, Drama",900846,1990-09-09,Martin Scorsese
6,tt0102926,2013-04-23,2013-04-23,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1126636,1991-01-30,Jonathan Demme
7,tt0108052,2013-04-23,2013-04-23,,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",1081917,1993-11-30,Steven Spielberg
8,tt0110357,2013-04-23,2013-04-23,,The Lion King,https://www.imdb.com/title/tt0110357/,movie,8.5,88,1994,"Animation, Adventure, Drama, Family, Musical",829276,1994-05-07,"Rob Minkoff, Roger Allers"
9,tt0111161,2013-04-23,2013-04-23,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2087430,1994-09-10,Frank Darabont
10,tt0112573,2013-04-23,2013-04-23,,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.4,178,1995,"Biography, Drama, History, War",887491,1995-05-18,Mel Gibson
11,tt0120815,2013-04-23,2013-04-23,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1103557,1998-07-21,Steven Spielberg
12,tt0137523,2013-04-23,2013-04-23,,Fight Club,https://www.imdb.com/title/tt0137523/,movie,8.8,139,1999,Drama,1668919,1999-09-10,David Fincher
13,tt0172495,2013-04-23,2013-04-23,,Gladiator,https://www.imdb.com/title/tt0172495/,movie,8.5,155,2000,"Action, Adventure, Drama",1205572,2000-05-01,Ridley Scott
14,tt0372784,2013-04-23,2013-04-23,,Batman Begins,https://www.imdb.com/title/tt0372784/,movie,8.2,140,2005,"Action, Adventure",1187678,2005-05-31,Christopher Nolan
15,tt0482571,2013-04-23,2013-04-23,,The Prestige,https://www.imdb.com/title/tt0482571/,movie,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",1059302,2006-10-17,Christopher Nolan
16,tt0822854,2013-04-23,2013-04-23,,Shooter,https://www.imdb.com/title/tt0822854/,movie,7.2,124,2007,"Action, Drama, Thriller",291070,2007-03-08,Antoine Fuqua
