Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1130884,2013-04-24,2013-04-24,,Shutter Island,https://www.imdb.com/title/tt1130884/,movie,8.1,138,2010,"Mystery, Thriller",999983,2010-02-13,Martin Scorsese
2,tt1483013,2013-04-22,2013-04-22,,Oblivion,https://www.imdb.com/title/tt1483013/,movie,7.0,124,2013,"Action, Adventure, Sci-Fi",452248,2013-03-26,Joseph Kosinski
3,tt0114369,2013-04-24,2013-04-24,,Se7en,https://www.imdb.com/title/tt0114369/,movie,8.6,127,1995,"Crime, Drama, Mystery, Thriller",1279825,1995-09-15,David Fincher
4,tt0482571,2013-04-24,2013-04-24,,The Prestige,https://www.imdb.com/title/tt0482571/,movie,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",1059294,2006-10-17,Christopher Nolan
5,tt0822854,2013-04-24,2013-04-24,,Shooter,https://www.imdb.com/title/tt0822854/,movie,7.2,124,2007,"Action, Drama, Thriller",291070,2007-03-08,Antoine Fuqua
6,tt1375666,2013-04-24,2013-04-24,,Inception,https://www.imdb.com/title/tt1375666/,movie,8.8,148,2010,"Action, Adventure, Sci-Fi, Thriller",1828823,2010-07-08,Christopher Nolan
7,tt1201607,2013-04-24,2013-04-24,,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,movie,8.1,130,2011,"Adventure, Drama, Fantasy, Mystery",688179,2011-07-07,David Yates
8,tt1219289,2013-04-24,2013-04-24,,Limitless,https://www.imdb.com/title/tt1219289/,movie,7.4,105,2011,"Mystery, Sci-Fi, Thriller",490488,2011-03-08,Neil Burger
9,tt1568346,2013-04-24,2013-04-24,,The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1568346/,movie,7.8,158,2011,"Crime, Drama, Mystery, Thriller",386456,2011-12-12,David Fincher
10,tt1194173,2013-04-24,2013-04-24,,The Bourne Legacy,https://www.imdb.com/title/tt1194173/,movie,6.7,135,2012,"Action, Adventure, Thriller",267842,2012-07-30,Tony Gilroy
11,tt1259521,2013-04-24,2013-04-24,,The Cabin in the Woods,https://www.imdb.com/title/tt1259521/,movie,7.0,95,2011,Horror,337027,2011-12-11,Drew Goddard
12,tt1371111,2013-04-24,2013-04-24,,Cloud Atlas,https://www.imdb.com/title/tt1371111/,movie,7.4,172,2012,"Action, Drama, Mystery, Sci-Fi",325699,2012-09-08,"Lilly Wachowski, Lana Wachowski, Tom Tykwer"
13,tt1446714,2013-04-24,2013-04-24,,Prometheus,https://www.imdb.com/title/tt1446714/,movie,7.0,124,2012,"Adventure, Mystery, Sci-Fi",537263,2012-04-11,Ridley Scott
14,tt1922777,2013-04-24,2013-04-24,,Sinister,https://www.imdb.com/title/tt1922777/,movie,6.8,110,2012,"Horror, Mystery, Thriller",197422,2012-03-11,Scott Derrickson
15,tt0114814,2013-04-24,2013-04-24,,The Usual Suspects,https://www.imdb.com/title/tt0114814/,movie,8.6,106,1995,"Crime, Mystery, Thriller",902585,1995-01-25,Bryan Singer
16,tt0120689,2013-04-24,2013-04-24,,The Green Mile,https://www.imdb.com/title/tt0120689/,movie,8.6,189,1999,"Crime, Drama, Fantasy, Mystery",1008485,1999-12-06,Frank Darabont
17,tt0167404,2013-04-24,2013-04-24,,The Sixth Sense,https://www.imdb.com/title/tt0167404/,movie,8.1,107,1999,"Drama, Mystery, Thriller",841072,1999-08-02,M. Night Shyamalan
18,tt0304141,2013-04-24,2013-04-24,,Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141/,movie,7.9,142,2004,"Adventure, Family, Fantasy, Mystery",487462,2004-05-23,Alfonso Cuarón
19,tt0330373,2013-04-24,2013-04-24,,Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/,movie,7.7,157,2005,"Adventure, Family, Fantasy, Mystery",486699,2005-11-06,Mike Newell
20,tt0417741,2013-04-24,2013-04-24,,Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/,movie,7.6,153,2009,"Adventure, Family, Fantasy, Mystery",416431,2009-07-06,David Yates
21,tt0409459,2013-04-24,2013-04-24,,Watchmen,https://www.imdb.com/title/tt0409459/,movie,7.6,162,2009,"Action, Drama, Mystery, Sci-Fi",453311,2009-02-23,Zack Snyder
22,tt0988045,2013-04-24,2013-04-24,,Sherlock Holmes,https://www.imdb.com/title/tt0988045/,movie,7.6,128,2009,"Action, Adventure, Crime, Mystery, Thriller",547147,2009-12-14,Guy Ritchie
23,tt0947798,2013-04-24,2013-04-24,,Black Swan,https://www.imdb.com/title/tt0947798/,movie,8.0,108,2010,"Drama, Thriller",646396,2010-09-01,Darren Aronofsky
24,tt0926084,2013-04-24,2013-04-24,,Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/,movie,7.7,146,2010,"Adventure, Fantasy, Mystery",422909,2010-11-11,David Yates
25,tt0944835,2013-04-24,2013-04-24,,Salt,https://www.imdb.com/title/tt0944835/,movie,6.4,100,2010,"Action, Mystery, Thriller",276565,2010-07-19,Phillip Noyce
