Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0453562,2013-04-23,2013-04-23,,42,https://www.imdb.com/title/tt0453562/,movie,7.5,128,2013,"Biography, Drama, Sport",77393,2013-04-12,Brian Helgeland
2,tt1291584,2013-04-23,2013-04-23,,Warrior,https://www.imdb.com/title/tt1291584/,movie,8.2,140,2011,"Drama, Sport",402210,2011-09-09,Gavin O'Connor
3,tt0210945,2013-04-23,2013-04-23,,Remember the Titans,https://www.imdb.com/title/tt0210945/,movie,7.8,113,2000,"Biography, Drama, Sport",183883,2000-09-23,Boaz Yakin
4,tt0364725,2013-04-23,2013-04-23,,Dodgeball: A True Underdog Story,https://www.imdb.com/title/tt0364725/,movie,6.7,92,2004,"Comedy, Sport",213172,2004-06-18,Rawson Marshall Thurber
5,tt0317219,2013-04-23,2013-04-23,,Cars,https://www.imdb.com/title/tt0317219/,movie,7.1,117,2006,"Animation, Family",327270,2006-03-14,"John Lasseter, Joe Ranft"
6,tt0415306,2013-04-23,2013-04-23,,Talladega Nights: The Ballad of Ricky Bobby,https://www.imdb.com/title/tt0415306/,movie,6.6,108,2006,"Comedy, Sport",153387,2006-07-26,Adam McKay
7,tt0878804,2013-04-23,2013-04-23,,The Blind Side,https://www.imdb.com/title/tt0878804/,movie,7.7,129,2009,"Biography, Drama, Sport",266215,2009-11-17,John Lee Hancock
8,tt1210166,2013-04-23,2013-04-23,,Moneyball,https://www.imdb.com/title/tt1210166/,movie,7.6,133,2011,"Biography, Drama, Sport",325256,2011-09-09,Bennett Miller
9,tt0433035,2013-04-23,2013-04-23,,Real Steel,https://www.imdb.com/title/tt0433035/,movie,7.1,127,2011,"Action, Drama, Family, Sci-Fi, Sport",282976,2011-09-06,Shawn Levy
10,tt1629757,2013-04-23,2013-04-23,,Chasing Mavericks,https://www.imdb.com/title/tt1629757/,movie,7.2,116,2012,"Biography, Drama, Sport",28927,2012-10-25,"Michael Apted, Curtis Hanson"
11,tt1979320,2013-04-23,2013-04-23,,Rush,https://www.imdb.com/title/tt1979320/,movie,8.1,123,2013,"Action, Biography, Drama, Sport",390031,2013-09-02,Ron Howard
12,tt0108037,2013-04-23,2013-04-23,,The Sandlot,https://www.imdb.com/title/tt0108037/,movie,7.8,101,1993,"Comedy, Drama, Family, Sport",70933,1993-04-07,David Mickey Evans
13,tt0405159,2013-04-23,2013-04-23,,Million Dollar Baby,https://www.imdb.com/title/tt0405159/,movie,8.1,132,2004,"Drama, Sport",584198,2004-12-05,Clint Eastwood
14,tt0964517,2013-04-23,2013-04-23,,The Fighter,https://www.imdb.com/title/tt0964517/,movie,7.8,116,2010,"Biography, Drama, Sport",315573,2010-12-06,David O. Russell
15,tt1155076,2013-04-23,2013-04-23,,The Karate Kid,https://www.imdb.com/title/tt1155076/,movie,6.2,140,2010,"Action, Drama, Family, Romance, Sport",145765,2010-06-07,Harald Zwart
16,tt2083383,2013-04-23,2013-04-23,,Trouble with the Curve,https://www.imdb.com/title/tt2083383/,movie,6.8,111,2012,"Drama, Sport",55944,2012-09-19,Robert Lorenz
17,tt0075148,2013-04-23,2013-04-23,,Rocky,https://www.imdb.com/title/tt0075148/,movie,8.1,120,1976,"Drama, Sport",470464,1976-11-20,John G. Avildsen
18,tt0087538,2013-04-23,2013-04-23,,The Karate Kid,https://www.imdb.com/title/tt0087538/,movie,7.2,126,1984,"Action, Drama, Family, Sport",157625,1984-06-22,John G. Avildsen
19,tt1023111,2013-04-23,2013-04-23,,Never Back Down,https://www.imdb.com/title/tt1023111/,movie,6.6,110,2008,"Action, Drama, Sport",90547,2008-03-04,Jeff Wadlow
20,tt1456635,2013-04-23,2013-04-23,,Goon,https://www.imdb.com/title/tt1456635/,movie,6.8,92,2011,"Comedy, Drama, Sport",79640,2011-09-10,Michael Dowse
21,tt0104694,2013-04-23,2013-04-23,,A League of Their Own,https://www.imdb.com/title/tt0104694/,movie,7.2,128,1992,"Comedy, Drama, Family, Sport",84012,1992-07-01,Penny Marshall
22,tt0398165,2013-04-23,2013-04-23,,The Longest Yard,https://www.imdb.com/title/tt0398165/,movie,6.4,113,2005,"Comedy, Crime, Sport",149961,2005-05-19,Peter Segal
23,tt1057500,2013-04-23,2013-04-23,,Invictus,https://www.imdb.com/title/tt1057500/,movie,7.3,134,2009,"Biography, Drama, History, Sport",140550,2009-12-03,Clint Eastwood
