Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0443272,2013-04-22,2013-04-22,,Lincoln,https://www.imdb.com/title/tt0443272/,movie,7.4,150,2012,"Biography, Drama, History, War",228047,2012-10-08,Steven Spielberg
2,tt0064040,2013-04-23,2013-04-23,,L'armée des ombres,https://www.imdb.com/title/tt0064040/,movie,8.2,145,1969,"Drama, War",17834,1969-09-12,Jean-Pierre Melville
3,tt0386064,2013-04-23,2013-04-23,,Taegukgi hwinalrimyeo,https://www.imdb.com/title/tt0386064/,movie,8.1,140,2004,"Action, Drama, War",35635,2004-02-03,Je-kyu Kang
4,tt2007387,2013-04-23,2013-04-23,,Go-ji-jeon,https://www.imdb.com/title/tt2007387/,movie,7.4,133,2011,"Action, Drama, History, War",5284,2011-07-20,Hun Jang
5,tt0260991,2013-04-23,2013-04-23,,Gongdong gyeongbi guyeok JSA,https://www.imdb.com/title/tt0260991/,movie,7.8,110,2000,"Action, Drama, Thriller, War",23376,2000-09-09,Chan-wook Park
6,tt0170691,2013-04-23,2013-04-23,,Tigerland,https://www.imdb.com/title/tt0170691/,movie,7.0,101,2000,"Drama, War",36198,2000-09-13,Joel Schumacher
7,tt0258068,2013-04-23,2013-04-23,,The Quiet American,https://www.imdb.com/title/tt0258068/,movie,7.1,101,2002,"Drama, Mystery, Romance, Thriller, War",25983,2002-09-09,Phillip Noyce
8,tt0462504,2013-04-23,2013-04-23,,Rescue Dawn,https://www.imdb.com/title/tt0462504/,movie,7.3,120,2006,"Action, Adventure, Biography, Drama, War",94881,2006-09-09,Werner Herzog
9,tt0252299,2013-04-23,2013-04-23,,Buffalo Soldiers,https://www.imdb.com/title/tt0252299/,movie,6.8,98,2001,"Comedy, Crime, Drama, Thriller, War",22222,2001-09-08,Gregor Jordan
10,tt0159365,2013-04-23,2013-04-23,,Cold Mountain,https://www.imdb.com/title/tt0159365/,movie,7.2,154,2003,"Adventure, Drama, History, Romance, War",131877,2003-12-07,Anthony Minghella
11,tt0134154,2013-04-23,2013-04-23,,Ride with the Devil,https://www.imdb.com/title/tt0134154/,movie,6.8,138,1999,"Drama, Romance, War, Western",12207,1999-09-09,Ang Lee
12,tt0120188,2013-04-23,2013-04-23,,Three Kings,https://www.imdb.com/title/tt0120188/,movie,7.1,114,1999,"Action, Adventure, Comedy, Drama, War",152390,1999-09-27,David O. Russell
13,tt0115956,2013-04-23,2013-04-23,,Courage Under Fire,https://www.imdb.com/title/tt0115956/,movie,6.6,116,1996,"Action, Drama, Mystery, Thriller, War",46699,1996-07-12,Edward Zwick
14,tt0418763,2013-04-23,2013-04-23,,Jarhead,https://www.imdb.com/title/tt0418763/,movie,7.0,125,2005,"Biography, Drama, War",161605,2005-10-27,Sam Mendes
15,tt0947810,2013-04-23,2013-04-23,,Green Zone,https://www.imdb.com/title/tt0947810/,movie,6.8,115,2010,"Action, Drama, Thriller, War",121915,2010-02-26,Paul Greengrass
16,tt0460690,2013-04-23,2013-04-23,,The Unit,https://www.imdb.com/title/tt0460690/,tvSeries,8.1,60,2006,"Action, Drama, Thriller, War",18690,2006-03-07,
17,tt0891527,2013-04-23,2013-04-23,,Lions for Lambs,https://www.imdb.com/title/tt0891527/,movie,6.2,92,2007,"Drama, Thriller, War",45300,2007-10-18,Robert Redford
18,tt1559549,2013-04-23,2013-04-23,,Restrepo,https://www.imdb.com/title/tt1559549/,movie,7.5,93,2010,"Documentary, War",20598,2010-01-31,"Tim Hetherington, Sebastian Junger"
19,tt1091191,2013-04-23,2013-04-23,,Lone Survivor,https://www.imdb.com/title/tt1091191/,movie,7.5,121,2013,"Action, Biography, Drama, War",245799,2013-11-12,Peter Berg
20,tt1829891,2013-04-23,2013-04-23,,Combat Hospital,https://www.imdb.com/title/tt1829891/,tvSeries,7.5,42,2011,"Drama, War",2007,2011-06-21,
21,tt0763840,2013-04-23,2013-04-23,,Home of the Brave,https://www.imdb.com/title/tt0763840/,movie,5.6,106,2006,"Action, Drama, War",10055,2006-12-15,Irwin Winkler
22,tt0489281,2013-04-23,2013-04-23,,Stop-Loss,https://www.imdb.com/title/tt0489281/,movie,6.5,112,2008,"Drama, War",19031,2008-03-13,Kimberly Peirce
23,tt0995832,2013-04-23,2013-04-23,,Generation Kill,https://www.imdb.com/title/tt0995832/,tvMiniSeries,8.6,70,2008,"Drama, War",42589,2008-07-13,
24,tt0887912,2013-04-23,2013-04-23,,The Hurt Locker,https://www.imdb.com/title/tt0887912/,movie,7.6,131,2008,"Drama, Thriller, War",391073,2008-09-04,Kathryn Bigelow
25,tt0790712,2013-04-23,2013-04-23,,The Messenger,https://www.imdb.com/title/tt0790712/,movie,7.1,113,2009,"Drama, Romance, War",32421,2009-01-19,Oren Moverman
26,tt1019454,2013-04-23,2013-04-23,,Taking Chance,https://www.imdb.com/title/tt1019454/,tvMovie,7.5,77,2009,"Drama, War",12298,2009-01-16,Ross Katz
27,tt1656192,2013-04-23,2013-04-23,,Forces spéciales,https://www.imdb.com/title/tt1656192/,movie,6.4,109,2011,"Action, Drama, War",16832,2011-11-02,Stéphane Rybojad
28,tt1591479,2013-04-23,2013-04-23,,Act of Valor,https://www.imdb.com/title/tt1591479/,movie,6.5,110,2012,"Action, Adventure, Drama, Thriller, War",63696,2012-02-07,"Mike McCoy, Scott Waugh"
29,tt0837106,2013-04-23,2013-04-23,A Swedish knight is sent to Jerusalem as penance while his lover languishes in a convent,Arn: Tempelriddaren,https://www.imdb.com/title/tt0837106/,movie,6.6,139,2007,"Action, Adventure, Drama, Romance, War",20049,2007-12-17,Peter Flinth
30,tt0416044,2013-04-23,2013-04-23,The earlier half of Genghis Khan's life,Mongol,https://www.imdb.com/title/tt0416044/,movie,7.3,126,2007,"Action, Adventure, Biography, Drama, History, War",42115,2007-08-10,Sergei Bodrov
31,tt0120815,2013-04-23,2013-04-23,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1103522,1998-07-21,Steven Spielberg
32,tt0374463,2013-04-23,2013-04-23,,The Pacific,https://www.imdb.com/title/tt0374463/,tvMiniSeries,8.3,530,2010,"Action, Adventure, Drama, History, War",86793,2010-03-14,
33,tt1668200,2013-04-23,2013-04-23,,Elle s'appelait Sarah,https://www.imdb.com/title/tt1668200/,movie,7.5,111,2010,"Drama, War",15033,2010-09-16,Gilles Paquet-Brenner
34,tt1590950,2013-04-23,2013-04-23,,Age of Heroes,https://www.imdb.com/title/tt1590950/,movie,5.6,90,2011,"Action, Adventure, Drama, Thriller, War",9094,2011-05-20,Adrian Vitoria
35,tt1694118,2013-04-23,2013-04-23,,Memorial Day,https://www.imdb.com/title/tt1694118/,movie,6.1,104,2012,"Action, Drama, History, War",2019,2012-04-21,Samuel Fischer
36,tt0780645,2013-04-23,2013-04-23,,War of the Dead,https://www.imdb.com/title/tt0780645/,movie,4.1,86,2011,"Action, Adventure, Horror, Sci-Fi, Thriller, War",2371,2011-10-22,Marko Mäkilaakso
37,tt1558575,2013-04-23,2013-04-23,,Fortress,https://www.imdb.com/title/tt1558575/,video,5.1,105,2012,"Action, Drama, War",1808,2012-04-01,Mike Phillips
38,tt1417075,2013-04-23,2013-04-23,,In Darkness,https://www.imdb.com/title/tt1417075/,movie,7.3,145,2011,"Drama, War",9309,2011-09-02,Agnieszka Holland
39,tt1606384,2013-04-23,2013-04-23,,Mai wei,https://www.imdb.com/title/tt1606384/,movie,7.8,137,2011,"Action, Drama, War",9267,2011-12-22,Je-kyu Kang
40,tt2069100,2013-04-23,2013-04-23,,Treto poluvreme,https://www.imdb.com/title/tt2069100/,movie,7.9,113,2012,"Drama, History, Romance, Sport, War",7969,2012-09-27,Darko Mitrevski
41,tt1876277,2013-04-23,2013-04-23,,Into the White,https://www.imdb.com/title/tt1876277/,movie,7.2,104,2012,"Action, Biography, Drama, History, War",17909,2012-03-04,Petter Næss
42,tt0454824,2013-04-23,2013-04-23,,Flyboys,https://www.imdb.com/title/tt0454824/,movie,6.5,140,2006,"Action, Adventure, Drama, History, Romance, War",39413,2006-09-22,Tony Bill
43,tt1418646,2013-04-23,2013-04-23,Western Front in Belgium,Beneath Hill 60,https://www.imdb.com/title/tt1418646/,movie,7.1,122,2010,"Drama, History, War",6883,2010-04-15,Jeremy Sims
44,tt0424205,2013-04-23,2013-04-23,,Joyeux Noël,https://www.imdb.com/title/tt0424205/,movie,7.8,116,2005,"Drama, History, Music, Romance, War",25547,2005-05-16,Christian Carion
45,tt1092082,2013-04-23,2013-04-23,,Passchendaele,https://www.imdb.com/title/tt1092082/,movie,6.5,114,2008,"Drama, History, Romance, War",7638,2008-09-04,Paul Gross
46,tt0365675,2013-04-23,2013-04-23,,Der rote Baron,https://www.imdb.com/title/tt0365675/,movie,6.4,106,2008,"Action, Adventure, Biography, Drama, Romance, War",11037,2008-03-31,Nikolai Müllerschön
47,tt0344510,2013-04-23,2013-04-23,,Un long dimanche de fiançailles,https://www.imdb.com/title/tt0344510/,movie,7.7,133,2004,"Drama, Mystery, Romance, War",68069,2004-10-27,Jean-Pierre Jeunet
