Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1223236,2013-04-24,2013-04-24,,African Cats,https://www.imdb.com/title/tt1223236/,movie,7.6,89,2011,"Documentary, Adventure",5769,2011-04-21,"Alastair Fothergill, Keith Scholey"
2,tt2125666,2013-04-24,2013-04-24,,The Queen of Versailles,https://www.imdb.com/title/tt2125666/,movie,7.1,100,2012,Documentary,11916,2012-01-19,Lauren Greenfield
3,tt2125423,2013-04-24,2013-04-24,,Five Broken Cameras,https://www.imdb.com/title/tt2125423/,movie,7.9,94,2011,"Documentary, War",5466,2011-11-23,"Guy Davidi, Emad Burnat"
4,tt2125653,2013-04-24,2013-04-24,,The House I Live In,https://www.imdb.com/title/tt2125653/,movie,7.9,108,2012,Documentary,5019,2012-01-21,Eugene Jarecki
5,tt2093109,2013-04-24,2013-04-24,,Escape Fire: The Fight to Rescue American Healthcare,https://www.imdb.com/title/tt2093109/,movie,7.3,95,2012,"Documentary, News",476,2012-01-20,"Matthew Heineman, Susan Froemke"
6,tt1736049,2013-04-24,2013-04-24,,A Place at the Table,https://www.imdb.com/title/tt1736049/,movie,6.9,84,2012,Documentary,1059,2012-01-22,"Lori Silverbush, Kristi Jacobson"
7,tt0361596,2013-04-24,2013-04-24,,Fahrenheit 9/11,https://www.imdb.com/title/tt0361596/,movie,7.5,122,2004,"Documentary, Drama, War",122202,2004-05-17,Michael Moore
8,tt1613092,2013-04-24,2013-04-24,,Happy,https://www.imdb.com/title/tt1613092/,movie,7.2,76,2011,"Documentary, Drama, Family",3002,2012-05-12,Roko Belic
9,tt1682181,2013-04-24,2013-04-24,,Bully,https://www.imdb.com/title/tt1682181/,movie,7.4,98,2011,Documentary,9586,2011-04-23,Lee Hirsch
10,tt1433813,2013-04-24,2013-04-24,,Hubble 3D,https://www.imdb.com/title/tt1433813/,movie,7.8,44,2010,Documentary,3931,2010-03-19,Toni Myers
11,tt1860355,2013-04-24,2013-04-24,,Undefeated,https://www.imdb.com/title/tt1860355/,movie,7.8,113,2011,"Documentary, Sport",6427,2011-03-13,"Daniel Lindsay, T.J. Martin"
12,tt1699705,2013-04-24,2013-04-24,,Tears of Gaza,https://www.imdb.com/title/tt1699705/,movie,7.9,90,2010,"Documentary, War",484,2010-09-30,Vibeke Løkkeberg
13,tt1606829,2013-04-24,2013-04-24,,The Other Dream Team,https://www.imdb.com/title/tt1606829/,movie,8.4,89,2012,"Documentary, Sport",3323,2012-01-21,Marius A. Markevicius
14,tt0103767,2013-04-24,2013-04-24,,Baraka,https://www.imdb.com/title/tt0103767/,movie,8.6,96,1992,Documentary,32996,1992-08-31,Ron Fricke
15,tt1137439,2013-04-24,2013-04-24,,Blue Gold: World Water Wars,https://www.imdb.com/title/tt1137439/,movie,7.7,90,2008,Documentary,1107,2008-10-07,Samuel Vartek
16,tt2130321,2013-04-24,2013-04-24,,West of Memphis,https://www.imdb.com/title/tt2130321/,movie,7.9,147,2012,"Documentary, Crime",9215,2012-01-21,Amy Berg
17,tt1505384,2013-04-24,2013-04-24,,Poster Girl,https://www.imdb.com/title/tt1505384/,short,6.8,38,2010,"Documentary, Short, Biography, War",298,2012-07-30,Sara Nesson
18,tt2040281,2013-04-24,2013-04-24,,Beauty Is Embarrassing,https://www.imdb.com/title/tt2040281/,movie,7.5,88,2012,"Documentary, Biography, Comedy",1025,2012-03-10,Neil Berkeley
19,tt2048877,2013-04-24,2013-04-24,,The Ambassador,https://www.imdb.com/title/tt2048877/,movie,7.3,93,2011,Documentary,3602,2011-10-05,Mads Brügger
